Symbol,casTLE_Effect,pvalue
SBK2,-12.1,6.00E-06
RUNX1,-9.1,0.000141
CIC,8.3,0.000153
FIZ1,-11.1,0.000159
PLA2G5,8,0.000189
SH2B3,5.3,0.000189
IGFBP1,7.1,0.00019
MMP7,-6.6,0.000202
OXT,-6.9,0.000215
MMP13,-10.2,0.000358
TADA2B,-4.3,0.000358
SUMO1,4.3,0.000392
GAS2,7.8,0.000396
PTEN,-5.8,0.000396
NAIP2,5.9,0.000561
PTPN6,-7.6,0.000586
SET,3.9,0.000655
PARP3,9.6,0.000659
PRPS1,6.1,0.000686
CMAS,-8.9,0.000689
INS2,-8.7,0.000695
RDH13,-3.5,0.000723
PSTPIP1,-6.9,0.000738
TAF6L,-6,0.000772
SEC14L2,-8,0.000859
CDPF1,5.6,0.000871
SPEN,5.7,0.000892
VEGFA,6,0.000892
PAFAH1B1,8.9,0.00091
SPINK7,3.7,0.000953
MMP28,-7.8,0.000981
NEK2,-6.9,0.000987
RRAD,4.2,0.00102
PEBP1,8.4,0.00104
ERBB4,-8,0.00104
DNPEP,-6.3,0.00111
TSHR,7.9,0.00111
GPC6,8.1,0.00113
SUV39H2,8,0.00118
CHRNG,-8.1,0.00119
LGALS2,-8.2,0.0012
NLK,-8,0.00122
METTL7B,7.3,0.00124
RPTOR,8.8,0.00125
TSSK6,-8,0.00139
DCX,9.1,0.00143
CDH16,-9.5,0.00148
ADAMTS5,5.9,0.00148
ME2,-5.6,0.00153
SOAT2,-7.4,0.0016
SLC36A1,-8.6,0.0016
ADAM12,6.9,0.00161
WNK4,-11.7,0.00165
SRY,7.9,0.00166
VWF,6.9,0.00167
PIP,-7.5,0.00175
PPARG,4.3,0.00175
GCGR,-8.4,0.00179
F10,-5.8,0.00186
AMFR,4.9,0.00187
EXTL2,-7.5,0.00196
ADAMTSL1,8.7,0.00205
EPM2A,-7.4,0.00219
UQCR11,5.1,0.00222
PRKCDBP,-4.3,0.00223
PPP3R2,5.9,0.00236
CYP2C38,-9.5,0.00242
AGPAT3,-11.7,0.00243
NDUFB7,-6.8,0.00243
RBMS3,-4.9,0.00252
KIF2A,8.4,0.00252
PTPRG,-8.9,0.00252
PPT1,-6.8,0.00297
EIF2AK2,-9.8,0.00297
XPC,8.3,0.003
CAMK4,-6.1,0.00304
NUDT2,8.8,0.00304
GM11127,3.9,0.0031
MS4A2,-10.4,0.00323
IP6K3,-6.9,0.00323
RENBP,-5.7,0.00327
TAF5L,-2.7,0.0033
MAP3K19,-5.2,0.00353
NID1,-6.8,0.00355
NODAL,3.6,0.00358
A630081J09RIK,5.1,0.00358
OAZ2,-6.1,0.00358
EP300,-4.3,0.00374
TK2,-8.9,0.0038
HADHB,5.2,0.00383
PPIB,-5.7,0.00383
TADA1,-9,0.00386
LRP5,7.3,0.00402
LY96,-7.3,0.00416
ACE2,-7.7,0.00421
ATF1,5.2,0.00421
ITPR2,3.8,0.00425
CTH,-11.7,0.00428
MAN2B2,8,0.00435
CDK5R1,-9.2,0.00439
PTPRN2,-4.6,0.00447
DRD5,-8.5,0.00453
AARS2,-10.1,0.00478
KCNJ5,-7.5,0.00481
IKZF1,8,0.00484
TCRG-V7,8.2,0.005
NPR2,-5.9,0.005
KEAP1,8,0.00508
RAD9B,5.3,0.00508
CACNA1S,-5.9,0.00508
GRM2,-3,0.00516
XPA,4.4,0.00529
CDKN1A,-4.4,0.00535
GRIN3A,-8.4,0.00538
PTPRN,-6,0.00538
MPO,6.4,0.00542
EEF2K,-9.5,0.00552
BLOC1S3,6.1,0.00572
CDO1,-7.5,0.00585
PHOSPHO2,-8.3,0.00592
EFHD2,-11.7,0.00608
F2,-6.8,0.00612
GIGYF1,6.4,0.00617
NF2,5,0.00627
BCKDK,-6.1,0.00627
ASPA,-9.4,0.00627
CDC25A,-10.4,0.00637
GUCY2F,-9.4,0.00641
PTGIS,-6.6,0.00641
MAP9,5.9,0.00657
PPP1R3C,-11.6,0.00657
REV1,7.4,0.00685
HTR4,-6.2,0.00695
CHRNA4,-8.2,0.00701
DGKH,-2.8,0.00701
LAMB3,8.1,0.00711
H2-BL,-5.3,0.00711
DUSP23,-8.1,0.00711
RHOD,3.8,0.00716
TPSB2,6.3,0.00716
HTR1B,-7.8,0.00728
NARFL,-9.1,0.00728
RPS6KB1,-3.5,0.00728
GCSH,-4.5,0.00757
PRR5,8.4,0.00769
CNP,7.1,0.00785
H2-AB1,-7.9,0.0079
IGF1,8,0.00796
KEL,5.2,0.00801
DSCAML1,3.6,0.00801
UMOD,8,0.00825
CTNNA2,8.2,0.0083
UTY,8.4,0.00836
MTFMT,-7.9,0.0086
FUK,-6.3,0.00913
ACP2,-9.9,0.00913
ADPRHL1,5.1,0.00913
CLEC3B,8.3,0.00918
GNPDA1,3.7,0.00918
NDUFC1,-4.7,0.00923
CKMT1,-6.6,0.00928
UCK2,-6,0.00934
GNAS,5.2,0.00941
SLCO1A4,-7,0.00941
NOP16,-8.4,0.00952
BOD1,-10,0.00958
TRIO,-4.4,0.00958
LUM,3.9,0.00971
PIK3R2,-7.7,0.00971
PIK3R3,-10.6,0.00971
GM10639,-9.5,0.00971
ASL,5,0.00977
ALDH3B1,-6.6,0.00985
TNFRSF11A,3.2,0.00985
4-Sep,3.7,0.00998
PIP4K2B,-4.6,0.01
SPATC1,3.5,0.01
GREM2,5.6,0.01
B4GALT4,-7.5,0.0101
FBXO24,5.2,0.0102
GRIA3,-6.4,0.0102
FBL,-3.7,0.0102
SAR1B,-9.6,0.0102
PCTP,-7.6,0.0103
PLA2G2D,-5.8,0.0103
SCYL2,-6.1,0.0104
PPEF2,-6.9,0.0104
RAMP3,-5.1,0.0106
VPS25,-9.3,0.0106
G6PC,-7.9,0.0106
PRKAG3,-7.4,0.0107
FBLN5,4.5,0.0107
AGXT,-6,0.0107
LTA,-8,0.0108
VAMP8,5.8,0.0108
PLSCR1,7.8,0.0109
NFKB1,7.7,0.0112
PLXND1,3.5,0.0112
SPATA13,3.4,0.0114
MMP24,-6.8,0.0116
NAGS,-5.7,0.0116
PHOX2B,5.8,0.0116
SELO,3.4,0.0117
E2F5,7.8,0.0117
GALE,-11.6,0.0118
MTTP,-6.3,0.0119
IRAK2,-8.7,0.0119
DKK1,8.1,0.012
CSF1R,-8.7,0.0123
TFEB,6.1,0.0123
CDC14B,-4.9,0.0124
UPB1,5.4,0.0126
P2RY12,-6.4,0.0128
ADCK5,-7.4,0.0128
EVI5,4.3,0.0128
NBAS,7.1,0.0129
BAI3,4.7,0.0131
CHRNB4,-7.7,0.0131
10-Sep,6.7,0.0131
BC052040,-6.5,0.0132
GBX1,-4.4,0.0132
ADAMTSL5,6.5,0.0132
ACAT3,-2.9,0.0133
HAO2,-7.7,0.0133
NMNAT1,-8.8,0.0135
D3ERTD254E,3.9,0.0135
IFT88,4.3,0.0136
PDXDC1,-6.3,0.0136
CD46,-4.5,0.0139
MLLT6,8,0.014
PTPRJ,-5,0.0142
OXSR1,-10.2,0.0142
PRKAG1,-7.8,0.0142
GLDC,3.4,0.0144
NEU1,-7,0.0145
GMNN,4.5,0.0145
MGST2,-5.6,0.0146
ALDH3A2,-6.3,0.0146
CDK8,-7.3,0.0147
GALT,4.5,0.0147
MINPP1,-6.3,0.0147
MGAT1,-9.2,0.0148
BIVM,5.7,0.0148
MYLK4,-5.9,0.0148
RABGGTA,7.2,0.0149
CAR13,-7.4,0.0149
LYN,-4.4,0.0149
DUSP7,-3.6,0.0151
MCL1,6.9,0.0152
ELOVL2,4.8,0.0153
WAP,3.1,0.0153
HK1,4.5,0.0155
ISYNA1,-7.7,0.0155
C1QC,-5.7,0.0157
CDC42BPG,-6.5,0.016
GLUD1,-7.9,0.016
TJP1,5.5,0.016
RRN3,-4.6,0.016
PGAM2,-7.1,0.0161
NR2C2,5.7,0.0162
