Symbol,casTLE_Effect,pvalue
CIC,9.7,1.00E-06
SH2B3,5.7,2.00E-06
TFEB,7.8,2.00E-06
NF1,5.6,6.00E-06
NAIP2,7.8,7.00E-06
GRIK4,-5.2,3.50E-05
LGALS2,-6.5,3.50E-05
IP6K3,-6.9,5.30E-05
TRP53,4.7,6.90E-05
OXT,-7.9,7.50E-05
A630081J09RIK,5.9,8.90E-05
ATF1,3.9,0.000172
MMP7,-7.3,0.000172
IGFBP1,5.4,0.000185
GAS2,7.3,0.000207
PLA2G5,7.8,0.000251
ITGB1,6.6,0.000269
SLC36A1,-6.7,0.000269
KDM6A,3.6,0.000311
RASA3,5.2,0.000332
RDX,-7.9,0.000332
CTNNA2,10.7,0.000353
LAMTOR5,5.9,0.000353
CEBPB,5.3,0.000375
PTPRN,-6.5,0.000375
SEC14L2,-7.9,0.000375
PRKCDBP,-7,0.000437
ADCK5,-7.1,0.000465
HADHB,6,0.000499
LY96,-7.2,0.000533
AKT1,-7.1,0.00057
GALT,4,0.000598
RRAD,4.7,0.000598
EIF2AK2,-7.7,0.000602
TAF6L,-5.4,0.000652
CDPF1,5.5,0.000687
CAMK4,-6.6,0.000739
EDAR,8.7,0.000741
RBP3,-6.7,0.000751
SET,4,0.000768
DYNC1LI1,8.6,0.00079
ADAM12,5.9,0.000826
DMPK,-4.6,0.000845
NEK2,-7.9,0.000888
PCTP,-7.9,0.000979
BCKDK,-6.6,0.00102
NODAL,3.3,0.00102
MKX,7.1,0.00105
EXTL2,-7.8,0.00107
PIK3R5,-6.2,0.00109
NARFL,-9.9,0.00112
LUM,4.4,0.00134
ENDOG,5.5,0.00136
HIBADH,-7.5,0.00136
AMFR,4.6,0.00137
PTPN6,-6,0.0014
RDH13,-6.5,0.00143
GM11127,5.1,0.00144
MMP13,-6.5,0.00147
PSTPIP1,-6.6,0.00148
ACACB,-5.5,0.00151
LAMTOR4,4.8,0.0016
ZBTB2,-10.1,0.00161
GPS2,10.5,0.00168
KCNC4,-7.5,0.00171
PLSCR1,8.5,0.00174
SOAT2,-7.3,0.00183
ADAMTSL1,8,0.00199
RAD51AP1,9.9,0.00199
PRKAR2B,-9.6,0.00201
AADACL2,-4.7,0.00202
INS2,-7.1,0.00202
CMAS,-9,0.00204
ZFP217,8.5,0.00207
NUDT2,8.6,0.00208
GRM2,-5.3,0.00222
PEBP1,7.8,0.00228
MAP9,6.5,0.00233
NLK,-8.3,0.00236
COL7A1,3.6,0.00253
SBF2,-5,0.00253
HSD11B2,-9.2,0.00254
GPC6,6.6,0.00255
PLA2G2D,-6.2,0.0026
TADA2B,-5.4,0.0026
WNK4,-8.2,0.00264
PIP,-8.8,0.0027
DUSP23,-7.2,0.00274
ASL,5.2,0.00276
BCL2L11,4.6,0.00278
DGKH,-5.6,0.00278
PDGFRB,-9.8,0.00284
RENBP,-6.4,0.00284
F2,-7.5,0.00287
HNMT,-1.9,0.00287
PAFAH1B1,8,0.00296
ECE1,-4.5,0.00301
SPINK7,3.6,0.00303
PGAM2,-7.3,0.0031
ARPC1B,-8.8,0.00324
BAIAP2L1,8.1,0.00329
INSR,-5.2,0.00333
PTGER3,-3.9,0.00342
TGFBR1,5.5,0.00344
IDH3B,-3,0.00364
CYP2C66,-6.8,0.00365
MS4A2,-7.4,0.00378
P2RY12,-6.3,0.00381
NF2,5.2,0.00385
ITPR2,3,0.00396
SUV39H2,6.7,0.00398
ADPRHL1,4,0.00407
CYP2C38,-7.4,0.00414
G6PC3,-7.9,0.00414
HBB-BT,-8.1,0.00414
SLC6A8,-5,0.00414
BGLAP2,-6.9,0.0043
KEL,5.3,0.00433
SRY,6.8,0.00445
GNRH1,3.2,0.00447
A230050P20RIK,3.9,0.0045
TRIO,-6.1,0.00455
EPHX2,-2.3,0.00462
TXK,3.7,0.00462
TK2,-8,0.00472
DCX,7,0.00477
ERBB4,-7.9,0.00477
NPR2,-7,0.00477
RUNX1,-1.8,0.0048
ASPA,-7.6,0.00485
BGLAP3,-6.9,0.00492
DUSP3,-6.1,0.00495
ADRB1,-6.9,0.00497
IBTK,-6.5,0.00497
SLC16A5,-5.3,0.005
HADH,-5.9,0.00503
IFNAR2,-7.7,0.00506
PRKCZ,-4,0.00506
TSHR,7,0.00506
CHRNG,-7.7,0.00508
VEGFA,4.5,0.00514
VWF,5.8,0.00526
PADI4,-7.6,0.00536
MMP24,-6.4,0.00543
MPO,6.6,0.00543
ADAMTS5,6.2,0.00559
METTL7B,6.1,0.00566
TADA1,-2.2,0.00585
ALDH3B1,-7.8,0.00588
CTSG,-5.6,0.00591
RARA,9.6,0.00591
SCN4B,-7.7,0.00599
CRP,-8.9,0.0061
CD52,5.6,0.00614
LYZ1,-4.4,0.00624
PTEN,-4.5,0.00632
PRPS1,4.2,0.0064
ADORA2B,-7.5,0.00647
RUNX3,4.6,0.00647
DSCAML1,4.1,0.00657
NLRP1B,5.9,0.00661
KEAP1,7.8,0.0067
MYH14,-6.7,0.0067
ZFP467,5.6,0.0067
NDUFB7,-8,0.00678
SBK2,-12.1,0.00678
CACNA1S,-7.1,0.00689
PACSIN3,-5.4,0.00689
EPM2A,-7.2,0.00697
PPARG,3.5,0.00701
PARP3,8.3,0.00706
CLCNKB,-3.9,0.00718
FBXO24,5.3,0.00718
PTPRK,-7.3,0.00718
CHRNA4,-7.9,0.00724
HDAC2,4.4,0.00729
ACVR2B,-5.9,0.00738
MMP28,-7.8,0.00738
CEP290,5.5,0.00742
FGF4,-7.2,0.00746
PRKAR1B,-7.9,0.00746
VPREB3,4.1,0.00746
MME,-3.7,0.0075
PAK2,-3.6,0.00758
UNC5C,4.6,0.00758
NT5C,-6.2,0.00762
PTGES,3.2,0.00767
RIPK4,-7.6,0.0078
ACE2,-7.4,0.00784
CDK15,-3.5,0.00784
GMNN,5.1,0.00784
CSF1R,-7.6,0.00793
IGF2R,5.8,0.00793
MMP8,-7.3,0.00793
DBP,8.3,0.00797
GALNT10,3.4,0.00797
CHRM2,-5.5,0.00802
ACE,-8,0.00808
TNFRSF11A,4.1,0.00808
CDC25A,-8.2,0.00824
STRADA,-4.3,0.0083
TOP3B,4.6,0.0083
ADRB3,-7.5,0.00841
VPS25,-9.2,0.00841
GCGR,-7.1,0.00857
SERP1,-7.3,0.00857
UBE2E1,3.1,0.0086
GIGYF1,5.6,0.00889
