Symbol,casTLE_Effect,pvalue
Atp5g2,-4.5,1.00E-06
Cox17,-9.2,1.00E-06
Emc8,-9.4,1.00E-06
Evi2,-21,1.00E-06
Galnt2,-4.3,1.00E-06
Isca1,-9.3,1.00E-06
Jmjd7,-13.4,1.00E-06
Lrrc8a,-4.8,1.00E-06
Nup188,-9.7,1.00E-06
Prickle4,-8.8,1.00E-06
Rbm12,-9.8,1.00E-06
Rbm14,-10.1,1.00E-06
Rpl9,-6.4,1.00E-06
Rps28,-9.1,1.00E-06
Runx1,-12.6,1.00E-06
Sdhaf1,-9.2,1.00E-06
Ssxb2,-9.5,1.00E-06
Zfp566,-10.5,1.00E-06
Rps3a1,-4.3,2.00E-06
Srp54,-3.2,2.00E-06
Srp54b,-3.2,2.00E-06
Ep300,-7.3,3.00E-06
Hist1h2ao,-3.5,3.00E-06
Igkv17-127,-9.8,3.00E-06
Taf6l,-9.5,3.00E-06
Foxq1,-9.8,4.00E-06
ENSMUSG00000075032,-3.8,4.00E-06
Morc3,-11.2,5.00E-06
Rragc,-9.1,1.00E-05
Tada1,-10.2,1.05E-05
Ighv15-2,-13,1.10E-05
Pla2g5,6.3,2.40E-05
Lrfn3,-8.5,4.00E-05
ENSMUSG00000098753,-5.4,4.20E-05
Actl7b,-9.5,4.70E-05
Cyp2j12,-11.7,7.40E-05
Brf1,-10.4,9.70E-05
Uqcc3,-12.9,0.000101
Hist1h2ag,-3.9,0.000103
Tada2b,-9.1,0.000105
Gm1968,6,0.000127
Synb,-4,0.000162
Usf2,-6.2,0.000201
Trav14n-3,-11,0.000218
Mmp13,-11.5,0.000231
Dynlt1,-11.9,0.000294
BC052040,-11.3,0.00031
Lrrc31,-14.2,0.000348
Fam19a2,3,0.000355
Nectin4,-11.8,0.000408
Ighv11-1,-7.7,0.000412
Cbx5,-3.6,0.000469
Ankrd29,-10,0.00047
Igfbp5,-8,0.00047
ENSMUSG00000094289,-9.9,0.000511
Igkv17-134,-7.4,0.000545
Lemd1,5.8,0.000566
Trrap,-10.1,0.0006
Trav14-3,-11,0.000604
Cic,4.8,0.000607
Bpi,5.7,0.000683
Cxcl11,5.6,0.000799
Arel1,6.1,0.000826
C2,-5.3,0.000838
Smco4,-6.8,0.000876
Olfr1281,-4.9,0.000899
Pcdhb4,-10.5,0.000937
ENSMUSG00000095415,-12.7,0.000951
Bod1,-9.7,0.00096
Rest,4.7,0.000962
Gfy,6.9,0.00103
Pten,-5.5,0.00103
Jph4,-6.8,0.00104
Szrd1,-6.5,0.00104
Olfr1156,-9.7,0.00106
Trav14d-3-dv8,-9.7,0.00106
Olfr203,-3.8,0.00107
Olfr686,-5.5,0.00119
Fiz1,-9.3,0.00122
Gm5612,-13.1,0.00128
Krtap8-1,-7.6,0.00128
Gja1,-8.1,0.00134
Pcyt1a,-9.9,0.00136
Dolpp1,-10.3,0.00138
Syt7,-3.8,0.00141
Car12,5.6,0.00147
Runx2,-8.7,0.0015
Gm20877,-5.5,0.00152
Taf5l,-8.6,0.00158
Cox5a,5.2,0.0016
Olfr364-ps1,-9.2,0.00169
Gm10338,-5.8,0.00172
Gm5795,-5.8,0.00172
Dppa3,-4.9,0.00177
Rpl10,-8.6,0.00177
Ampd2,-6.7,0.00185
Psmc6,-6.9,0.00185
Atp5l,-4.3,0.00192
Ing1,-8.5,0.00197
Smad2,-8.1,0.00202
Rbm4,-8.9,0.00206
Ddx54,-8,0.00215
Fbxo30,-4.1,0.00215
Tprn,-4.9,0.00216
Ssxb10,-6.8,0.00225
Cabcoco1,-9,0.00228
Ccnt1,-7.3,0.00233
Tpm3,-7.7,0.0024
Gm17174,-4.6,0.00242
Mup4,-3.2,0.00242
Tm9sf1,5.6,0.00246
Gm11596,-7.6,0.00247
Gm5546,-9.8,0.00247
Gm4763,-10.3,0.00249
2010109A12Rik,5.4,0.00251
Olfr287,-9.1,0.00252
Grk5,6.4,0.00265
Ptpn6,-7.3,0.00267
Olfr536,-4.3,0.0027
Aqp2,-3.4,0.00278
Lamtor3,-7,0.00284
Ccdc148,-8.4,0.00285
Csrnp2,-6,0.00292
Gm5415,-5.3,0.00293
Gria1,-5.9,0.00296
Tsta3,-5.8,0.00299
Cmas,-10.4,0.00301
BC048562,-5.7,0.00303
Dpp6,3.5,0.00312
Ltb4r1,-6.2,0.00313
Ankrd61,-3.7,0.00325
Tmem158,2.5,0.00341
AV320801,-4.5,0.00342
Gm15023,-4.5,0.00342
Adgrf5,-4.7,0.00345
Ddt,-7.2,0.0035
Nxpe4,7.5,0.00352
Tas2r121,2.3,0.00354
Ccdc38,-8.4,0.00364
Col4a3bp,-3.8,0.00365
Serpinb3a,-3.9,0.00365
Defb23,5.8,0.00366
Rgs8,-8.4,0.00369
Vps37a,-3.8,0.00373
Psma5,-10.3,0.00397
Gm20498,-12.9,0.00414
Pspn,-5.6,0.00414
Vmn2r113,-8.2,0.00422
Ckap2l,-7.3,0.00424
Fam149a,-8.2,0.00424
Prrt1,-5.7,0.00424
Rpl7a,-9.5,0.00442
Edf1,-7.5,0.00446
Med13,-7.6,0.00447
Hk1,4.9,0.00452
Igkv17-121,-7.8,0.00453
Dkk1,-5.1,0.00461
Smpdl3a,-7.7,0.00464
Arid3b,-9.7,0.00467
Sv2c,-8.5,0.00467
Inpp5d,-5.5,0.0047
Aco2,-4.4,0.00482
ENSMUSG00000096266,-6.3,0.00485
1700060C20Rik,-8.2,0.00494
Mzt1,-8.3,0.00494
Olfr448,-4.7,0.00497
1500015O10Rik,-4.4,0.00505
Zfand5,-3.8,0.0051
Gm13288,-5,0.00512
Gm13289,-5,0.00512
Gm13290,-5,0.00512
Ifnz,-5,0.00512
ENSMUSG00000094376,-5,0.00512
