Symbol,casTLE_Effect,pvalue
Cox17,-9,1.00E-06
Emc8,-9.3,1.00E-06
Evi2,-16.5,1.00E-06
Jmjd7,-9.4,1.00E-06
Prickle4,-8.6,1.00E-06
Rps28,-8.9,1.00E-06
Runx1,-4.9,1.00E-06
Sdhaf1,-8.3,1.00E-06
Isca1,-8.9,3.00E-06
Lrrc8a,-3.7,3.00E-06
Rpl9,-5.1,3.00E-06
Rragc,-8.9,3.00E-06
Zfp566,-6,4.00E-06
Rbm12,-5.6,5.00E-06
Nup188,-9.1,6.00E-06
Ighv15-2,-10.3,7.00E-06
Actl7b,-9.3,1.00E-05
Rbm14,-5.6,1.50E-05
Lrfn3,-4.7,1.70E-05
Foxq1,-5.3,2.10E-05
Runx2,-5.6,2.10E-05
Ssxb2,-5.7,2.10E-05
Galnt2,-3.7,2.40E-05
Taf6l,-6.3,2.50E-05
ENSMUSG00000098753,-4.8,3.10E-05
Srp54,-3.2,3.90E-05
Srp54b,-3.2,3.90E-05
Tada2b,-6.3,4.00E-05
Olfr1416,-11.5,4.60E-05
Igkv17-127,-8,7.40E-05
Uqcc3,-10.2,0.000101
Telo2,-14,0.000107
Atp5g2,-3.8,0.000111
Ep300,-4.1,0.000133
Olfr1382,-7.6,0.00016
Pla2g5,4.8,0.000288
Abca9,5.9,0.000299
Lemd1,5.7,0.000322
Nkx2-3,-8.7,0.000329
Cyp2j12,-11.4,0.000337
ENSMUSG00000075032,-3.8,0.000343
Atg9b,8.5,0.00035
Gm1968,5.8,0.000367
Igfbp5,-7.9,0.000527
Nf1,3.8,0.000553
Nt5c,10.1,0.000563
Lrrc31,-11.5,0.000574
Dynlt1,-9.1,0.000582
Arel1,7.9,0.000591
Cenpx,-12.8,0.000627
Gm4736,4.7,0.000637
Vmn2r99,-10.8,0.000682
ENSMUSG00000046076,6.8,0.000722
Sbf1,9.3,0.00078
Nectin4,-11.7,0.000782
2410004B18Rik,-3.7,0.000801
Nxpe4,7.8,0.000813
Smco4,-6.6,0.000899
Cbx5,-3.8,0.0009
Ppp6r2,-4.6,0.000917
Olfr1281,-4.6,0.000923
Olfr364-ps1,-9.8,0.000932
Mustn1,-7.2,0.000944
Zscan18,7.8,0.000953
Cic,6.4,0.00103
Gata3,-4,0.00105
Vmn1r57,-7.6,0.00109
Rps3a1,-3.5,0.0011
Tm9sf1,8,0.00113
Cxcl11,5.5,0.00116
C2,-5.6,0.00121
Fthl17a,-7.9,0.00121
ENSMUSG00000095415,-10.2,0.00121
Trp53,3.4,0.00125
Pdgfrb,9,0.00126
Pld1,-3.1,0.00133
Gm26657,-9.7,0.00134
Rasa3,3.3,0.00134
Hcst,-2.5,0.0014
Hgd,7.7,0.00142
Scand1,-7.4,0.00142
Tmsb15l,6.3,0.00142
Gm5546,-10.9,0.00144
Gfy,6.9,0.00145
Alb,7.8,0.00148
ENSMUSG00000001417,8.4,0.0015
Ighv11-1,-2.8,0.00151
Tnnt1,-7.3,0.00159
Jph4,-6.1,0.0017
Lce1i,6.7,0.00171
Gm5885,6.1,0.00177
Trrap,-7,0.00187
