Symbol,casTLE_Effect,pvalue
Cox17,-8.9,1.00E-06
Emc8,-9.2,1.00E-06
Jmjd7,-9.9,1.00E-06
Lrrc8a,-5.1,1.00E-06
Prickle4,-8.5,1.00E-06
Runx1,-4.1,1.00E-06
Sdhaf1,-8.9,1.00E-06
Rps28,-8.8,2.00E-06
Nup188,-9.3,3.00E-06
Evi2,-16.6,6.00E-06
Isca1,-8.9,8.00E-06
Tada2b,-7.7,8.00E-06
Galnt2,-4.7,1.10E-05
Cic,6.5,1.20E-05
Rbm12,-5.7,1.20E-05
Zfp566,-6,1.30E-05
Rragc,-8.7,1.40E-05
Runx2,-6.9,2.10E-05
Foxq1,-5.4,2.30E-05
Olfr1416,-11.7,2.30E-05
Rpl9,-6.6,2.40E-05
Rbm14,-5.7,2.70E-05
Ccdc126,-7.9,3.80E-05
Igkv17-127,-9.6,3.90E-05
Mustn1,-6.5,4.10E-05
Ssxb2,-5.7,4.70E-05
Cenpx,-12.5,5.30E-05
Cyp2j12,-12,5.90E-05
Atp5g2,-4.7,6.00E-05
Ighv15-2,-10.1,6.60E-05
ENSMUSG00000098753,-4.4,7.20E-05
Actl7b,-9,0.000103
Igfbp5,-7.3,0.000103
Ing1,-8.7,0.000121
1700021A07Rik,-8.7,0.000146
Gm5082,6.5,0.000184
ENSMUSG00000001417,9.6,0.000229
Atg9b,10,0.000318
Hist1h2ao,-3.8,0.000318
Rps3a1,-4.6,0.000318
Srp54,-3.5,0.000318
Srp54b,-3.5,0.000318
Uqcc3,-10.1,0.000354
ENSMUSG00000046076,10,0.000385
ENSMUSG00000075032,-3.3,0.000401
Arpc5,8.4,0.000405
Dynlt1,-8.8,0.000405
2410004B18Rik,-4,0.000438
Smco4,-8.2,0.000486
Hist1h2ag,-4.1,0.000487
A530084C06Rik,6.1,0.000534
Nrf1,9.9,0.000535
Ep300,-2.9,0.000552
Lrrc31,-11.3,0.000581
Zscan18,8.6,0.000583
Sbf1,8.1,0.000584
Lemd1,6.3,0.000592
Alb,8.8,0.0006
Gm1968,6.8,0.000612
Pla2g5,6.2,0.000708
Fiz1,-10.5,0.000745
Olfr364-ps1,-8.1,0.000774
Pspn,-6.9,0.00081
Nectin4,-10.8,0.000826
Cbx5,-3.8,0.000892
Ighv11-1,-2.8,0.000897
Bcl6,-4.1,0.000899
Taf6l,-6.3,0.000978
