Symbol,casTLE_Effect,pvalue
Cox17,-7.952711111,1.00E-06
Emc8,-6.738285714,1.00E-06
Jmjd7,-8.34,1.00E-06
Lrrc8a,-4.752,1.00E-06
Nup188,-9.523333333,1.00E-06
Prickle4,-7.91375,1.00E-06
Rps28,-9.255,1.00E-06
Runx1,-6.89,1.00E-06
Sdhaf1,-7.062,1.00E-06
Tada2b,-6.901111111,1.00E-06
PYURF,-5.525,1.00E-06
Isca1,-7.9475,2.00E-06
Ep300,-5.008233333,3.00E-06
Evi2,-3.200111111,3.00E-06
Rragc,-6.29,5.00E-06
Zfp566,-3.6291,1.10E-05
Rbm12,-3.587777778,1.30E-05
Actl7b,-4.921666667,1.40E-05
Taf5l,-4.64296,1.60E-05
Ighv15-2,-7.596,1.70E-05
Taf6l,-4.541111111,1.70E-05
Rbm14,-6.248333333,2.50E-05
Gm4736,6.6025,2.70E-05
Uqcc3,-7.0792,3.30E-05
Runx2,-2.0303,4.20E-05
Tprn,-5.635,4.80E-05
Galnt2,-5.035,0.000101
Igkv17-127,-6.348,0.000112
Mmp13,-2.945333333,0.000118
Slc10a3,-1.355285714,0.000133
4930447A16Rik,2.7112,0.000134
Atp5g2,-3.743333333,0.000138
Dynlt1,-9.39,0.000154
Ssxb2,-3.7615,0.000177
Cenpx,-5.20775,0.000188
Ighv11-1,-3.400833333,0.000227
RHBG,3.384833333,0.000238
Tada1,-5.241,0.000246
Foxq1,-3.696888889,0.000258
Gnat2,-1.674,0.000293
OLFR998,5.222,0.000295
Gm17391,5.4372,0.000298
Tmsb15l,8.76,0.000309
Atg9b,1.483333333,0.000314
Morc3,-8.333333333,0.000343
Ccdc126,-2.816383333,0.000349
Olfr364-ps1,-5.986,0.000453
S100z,-2.333,0.000462
Rpl9,-7.206666667,0.000468
Srp54,-4.268571429,0.00047
Srp54b,-4.268571429,0.00047
Hist1h2ao,-4.341666667,0.000481
Rps3a1,-5.1125,0.000492
Lrfn3,-0.99,0.000577
Supt7l,-4.689333333,0.000687
Nectin4,-4.846,0.000836
Smco4,-8.4425,0.000894
Bod1,-3.219666667,0.000929
Gata3,-1.945285714,0.000929
Gm6880,4.12,0.000949
Bcl6,-2.549714286,0.000985
Hist1h2ag,-5.206666667,0.000992
Cbr2,-6.256666667,0.00101
Trav12d-3,4.217714286,0.00102
Trav12n-3,4.217714286,0.00102
HIST1H3I,-4.2875,0.00103
Usf2,-1.098571429,0.0011
Brf1,-5.39825,0.00112
Olfr916,-11.6,0.00113
Olfr1446,6.675,0.00114
Luzp2,7.595,0.00128
Gsc2,1.6816,0.00131
Xlr,-7.155,0.00135
Alb,7.115,0.00137
Knop1,-5.99,0.00139
Vmn1r57,-4.492,0.00143
BC052040,-6.995,0.00147
Gm5885,6.53,0.00148
Ppp6r2,-3.084,0.00148
Fiz1,-1.508571429,0.00154
Rhox12,6.365,0.00156
Dhx30,4.9425,0.00158
Map1lc3b,3.89375,0.00158
Sumo1,8.06,0.00162
Gldc,4.712933333,0.00166
C2,-3.78,0.00171
2410004B18Rik,-8.463333333,0.00172
Olfr1032,-2.37444,0.00172
Rgs8,-8.18,0.00172
Mzt1,-9.855,0.00175
Grin2a,-1.231875,0.00176
Zfp35,6.71,0.00179
Ugt2b5,5.598571429,0.0018
Vps25,-9.19,0.00185
A530084C06Rik,6.16,0.00186
Med9,-2.545555556,0.00192
Klhl18,2.47,0.00193
Gm5258,-6.8,0.00196
Trav12d-1,-2.9375,0.00207
Trav12n-1,-2.9375,0.00207
Gm21119,-6.25,0.00211
Car6,3.6302,0.00224
Ddx54,-3.166833333,0.00226
Zfp658,-5.065,0.00229
Oprk1,4.72,0.00239
Zfp189,1.143888889,0.0024
Gsta4,-4.61,0.0025
Tm9sf1,3.591,0.0025
Gria1,-5.805,0.00251
Zfp541,-1.281555556,0.00251
Atp5l,-5.63,0.00258
Olfr641,6.875,0.00262
Asic1,-0.348875,0.00264
Gja1,-4.5435,0.0027
Rpl10,-7.426666667,0.00276
1700021A07Rik,-6.3525,0.00279
Hoxc5,2.819875,0.0028
Cbx5,-4.593333333,0.00287
Jph4,-4.82875,0.00287
Amz1,-3.8065,0.00289
Dvl3,-2.835111111,0.00292
Osr2,-3.0665,0.00292
1700019A02Rik,-10.61,0.00306
Nxpe4,6.685,0.00307
Nap1l2,-4.87,0.00311
Olfr1461,4.923333333,0.00313
Zfp949,-5.075,0.00313
Atad3a,6.686666667,0.00324
Cmas,-5.537,0.00329
Ptprt,4.599666667,0.00331
E130114P18Rik,-4.455625,0.00332
Ccdc28a,-2.51,0.00339
Rps6ka2,3.4402,0.0034
Pdgfd,-2.431666667,0.00341
TRAV7N-6,-10,0.0035
Mustn1,-4.3175,0.00358
Trrap,-4.216516667,0.00369
Wdr12,-5.296666667,0.0037
Aqp2,-3.574,0.00372
Nrf1,5.9185,0.00386
Glra1,-4.19275,0.00387
BC048562,-10.445,0.00394
Efcab1,-9.295,0.00394
Gm11596,-8.316666667,0.00394
Loxl1,4.578,0.00394
Gm4763,-10.405,0.00396
Specc1,-3.1158,0.00412
Hlx,2.977222222,0.00414
Srsf12,-4.59725,0.00415
Wdr83,-3.972857143,0.00418
Gucy2c,-4.4354,0.00421
Olfr686,-2.751,0.00421
Igfbp5,-2.585625,0.00424
Lrrc31,-8.03,0.0043
Celsr1,-0.5009,0.00436
Zscan18,4.143333333,0.00438
D130058E05Rik,-6.646666667,0.00443
Baz1a,-1.706,0.00462
Olfr1286,2.141,0.00462
Gm10530,-5.3245,0.00463
Tbc1d7,-4.42,0.0047
Krtap8-1,-4.602857143,0.00477
Adgrf5,-7.553333333,0.00479
Pdgfc,4.41295,0.00479
Eri1,2.7546,0.0048
Ccdc148,-4.54,0.00481
Gm21956,3.408,0.00485
Ppp2r3d,-4.8825,0.00487
Olfr54,4.143333333,0.00491
Tcf23,1.574777778,0.00495
Dolpp1,-5.324666667,0.00497
OLFR1392,-3.87,0.00498
Rest,4.501666667,0.00499
Tead2,-2.2002,0.005
Mapk11,-2.982142857,0.0051
Kbtbd2,-2.4598,0.00513
Ighv2-9-1,-3.196,0.00514
Rbm4,-3.670857143,0.00515
Sdhaf4,-4.725833333,0.00521
Ccnt1,-2.6442,0.00524
Serpinb3a,-3.392,0.00524
Bpi,2.268,0.00525
Epc1,-3.015533333,0.00527
Fbxo30,-4.266666667,0.00541
Drosha,-2.77675,0.00549
Nop2,-4.395,0.00549
Ighv14-1,3.288142857,0.00558
Kcnj15,-0.130842857,0.0056
Trav12-2,-5.475,0.00561
AI429214,-5.845,0.00571
Olfr1382,-5.46275,0.00572
Pspn,-5.6892,0.00582
Igkv17-134,-5.1246,0.00587
Npepps,-3.485,0.00587
Spen,5.181666667,0.00595
Gm21809,4.296,0.00602
Syt7,-1.447,0.00602
Trav14n-3,-7.176666667,0.00611
Calca,-3.512666667,0.00615
Lgals7,-3.458,0.00615
Olfr448,-7.64,0.00615
Tnfrsf13b,-7.89,0.00615
Uts2,4.209,0.00615
Gm9885,-1.868,0.00616
Adam6a,-8.27,0.0062
Cd19,-2.5972,0.0062
Ntmt1,-5.3465,0.00634
Gm17669,-6.912,0.00635
Gm5082,5.096666667,0.00654
Col4a3bp,-5.11,0.00658
Defb15,-4.92,0.00658
Tgfbr1,-0.427666667,0.0066
Zg16,-6.225,0.00662
Carmil2,-0.235666667,0.00667
Vps37a,-5.1,0.00669
1700119I11Rik,-4.29975,0.00681
Serpina1c,-1.4625,0.00682
Lemd1,2.0625,0.00686
Olfr1281,-4.6698,0.00693
Pla2g5,5.067,0.00695
