Gene_ID,Castle_Effect,Castle_Score,P_value
Zfp566,-10.5,55.8,1.00E-06
Rbm12,-9.8,48,1.00E-06
Evi2,-21,45.7,1.00E-06
Rbm14,-10.1,45.5,1.00E-06
Ssxb2,-9.5,44.1,1.00E-06
Taf6l,-9.5,42.9,3.00E-06
Foxq1,-9.8,41.6,4.00E-06
Runx1,-12.6,40.6,1.00E-06
Cox17,-9.2,30.9,1.00E-06
Lrfn3,-8.5,28.3,4.00E-05
Synb,-4,25.9,0.000162
Brf1,-10.4,25.5,9.70E-05
Tada2b,-9.1,25.3,0.000105
Fam19a2,3,23.9,0.000355
Sdhaf1,-9.2,23.5,1.00E-06
Nectin4,-11.8,23,0.000408
Tada1,-10.2,22.6,1.05E-05
Lrrc8a,-4.8,22,1.00E-06
Prickle4,-8.8,21.4,1.00E-06
Jmjd7,-13.4,20.6,1.00E-06
Emc8,-9.4,19.5,1.00E-06
Taf5l,-8.6,19.2,0.00158
Ing1,-8.5,18.7,0.00197
Rbm4,-8.9,18.5,0.00206
Mmp13,-11.5,18.4,0.000231
Ankrd29,-10,17.6,0.00047
Rps28,-9.1,16.9,1.00E-06
Ep300,-7.3,15.4,3.00E-06
Nup188,-9.7,15.4,1.00E-06
Isca1,-9.3,15.2,1.00E-06
Olfr1156,-9.7,14.9,0.00106
Ltb4r1,-6.2,14.8,0.00313
Atp5g2,-4.5,14.6,1.00E-06
Galnt2,-4.3,14.5,1.00E-06
Rpl9,-6.4,14.5,1.00E-06
Tmem158,2.5,14.2,0.00341
Cyp2j12,-11.7,13.7,7.40E-05
Tas2r121,2.3,13.5,0.00354
Psma5,-10.3,13.4,0.00397
Med13,-7.6,12.9,0.00447
Arid3b,-9.7,12.7,0.00467
Rragc,-9.1,12.4,1.00E-05
Pla2g5,6.3,12.3,2.40E-05
Zfp523,-6.3,12,0.0053
Igkv17-127,-9.8,11.7,3.00E-06
Srp54,-3.2,11.6,2.00E-06
Srp54b,-3.2,11.6,2.00E-06
Ighv15-2,-13,10.8,1.10E-05
Zfp595,-10.5,10.8,0.00678
Cabcoco1,-9,10.6,0.00228
Gm11596,-7.6,10.5,0.00247
Actl7b,-9.5,10.4,4.70E-05
Rps3a1,-4.3,10.4,2.00E-06
Olfr287,-9.1,10.3,0.00252
Trrap,-10.1,10.3,0.0006
Usf2,-6.2,9.95,0.000201
Hist1h2ao,-3.5,9.86,3.00E-06
Scaf4,7.9,9.72,0.0088
Gm14305,-7.3,9.68,0.0089
Lztr1,7,9.66,0.00894
Morc3,-11.2,9.66,5.00E-06
ENSMUSG00000075032,-3.8,9.53,4.00E-06
ENSMUSG00000094924,2.3,9.45,0.00638
Bpi,5.7,9.39,0.000683
ENSMUSG00000098753,-5.4,9.3,4.20E-05
Ccdc159,2,9.21,0.00668
Dynlt1,-11.9,9.09,0.000294
Adnp,-6.7,9.04,0.0104
BC048562,-5.7,9.03,0.00303
BC052040,-11.3,9,0.00031
Ankrd61,-3.7,8.9,0.00325
Adgrf5,-4.7,8.64,0.00345
Olfr325,1.5,8.63,0.00785
Nxpe4,7.5,8.53,0.00352
Zfp462,-6.3,8.46,0.0118
Uqcc3,-12.9,8.42,0.000101
Supt7l,-7.7,8.32,0.0122
Ccdc38,-8.4,8.31,0.00364
Igfbp5,-8,8.31,0.00047
Defb23,5.8,8.27,0.00366
Gm1968,6,8.25,0.000127
Rgs8,-8.4,8.21,0.00369
Vsx1,-5.4,8.21,0.0125
Mapk1,-7.1,8,0.0131
Olfr328,-4.4,7.99,0.0107
Rpl21,-9.6,7.94,0.0133
Cic,4.8,7.92,0.000607
Fam149a,-8.2,7.9,0.00424
Pten,-5.5,7.9,0.00103
Trav14n-3,-11,7.76,0.000218
Olfr448,-4.7,7.69,0.00497
1500015O10Rik,-4.4,7.67,0.00505
Olfr781,-8.2,7.63,0.00535
Ccr7,2.2,7.56,0.0119
Klrc1,2.3,7.54,0.012
Bod1,-9.7,7.45,0.00096
Ccdc25,2.3,7.31,0.013
Pcyt1a,-9.9,7.29,0.00136
Wwtr1,-6.7,7.29,0.0158
Lrrc31,-14.2,7.28,0.000348
Sp2,-5.3,7.28,0.0158
Szrd1,-6.5,7.27,0.00104
Dolpp1,-10.3,7.26,0.00138
Hist1h2ag,-3.9,7.25,0.000103
Fiz1,-9.3,7.22,0.00122
Gja1,-8.1,7.15,0.00134
Taf3,-9.8,7.15,0.0164
Tmem64,1.2,7.14,0.0142
Car12,5.6,7.13,0.00147
Ighv11-1,-7.7,7.11,0.000412
Olfr102,5.3,7.1,0.00639
Ptprq,7.5,7.1,0.0167
ENSMUSG00000092113,-5.5,7.1,0.00639
Cstl1,-8.2,7.07,0.00653
Runx2,-8.7,7.06,0.0015
Topaz1,-8.3,7.04,0.00685
Zbtb25,5.1,7,0.0172
Tprn,-4.9,6.99,0.00216
Cox5a,5.2,6.98,0.0016
Nsun5,-5.4,6.98,0.0173
Med9,-9.7,6.95,0.0174
ENSMUSG00000094289,-9.9,6.95,0.000511
Evi2a,-4.1,6.94,0.0153
Slc39a8,2.1,6.94,0.0153
Ampd2,-6.7,6.9,0.00185
Igkv17-134,-7.4,6.9,0.000545
Smco4,-6.8,6.89,0.000876
Lemd1,5.8,6.87,0.000566
Smad2,-8.1,6.83,0.00202
Trav14-3,-11,6.83,0.000604
Ddx54,-8,6.79,0.00215
Csrnp2,-6,6.78,0.00292
Olfr1281,-4.9,6.74,0.000899
Ccnt1,-7.3,6.73,0.00233
Jph4,-6.8,6.72,0.00104
Tpm3,-7.7,6.71,0.0024
Tmem267,2.1,6.69,0.0165
Pih1d3,-8.2,6.67,0.0075
Tex44,-7.9,6.61,0.00762
Cxcl11,5.6,6.58,0.000799
Pcdhb4,-10.5,6.57,0.000937
Tsta3,-5.8,6.55,0.00299
Pspn,-5.6,6.49,0.00414
Ckap2l,-7.3,6.46,0.00424
ENSMUSG00000095415,-12.7,6.46,0.000951
Gfy,6.9,6.4,0.00103
Trav14d-3-dv8,-9.7,6.38,0.00106
Ostn,-4.1,6.37,0.00789
Scand1,-5.1,6.34,0.0212
Smpdl3a,-7.7,6.31,0.00464
Olfr203,-3.8,6.3,0.00107
Sarnp,-4.8,6.24,0.0219
Dkk1,-5.1,6.23,0.00461
Gm5612,-13.1,6.23,0.00128
Krtap8-1,-7.6,6.23,0.00128
Aco2,-4.4,6.2,0.00482
Endod1,1.3,6.17,0.0195
Olfr686,-5.5,6.16,0.00119
Cbx5,-3.6,6.15,0.000469
Grk5,6.4,6.14,0.00265
Ptpn6,-7.3,6.13,0.00267
Mzt1,-8.3,6.12,0.00494
Npy,-6.5,6.1,0.00545
Tm7sf3,1.2,6.07,0.0201
Zfp385b,-9.2,6.05,0.0234
Lamtor3,-7,6.04,0.00284
Rpl10,-8.6,6.02,0.00177
Entpd8,2,6.01,0.0205
Olfr1416,-7.6,6.01,0.00911
Hnf4a,-8.7,6,0.00603
Armcx1,2.1,5.98,0.0208
Gria1,-5.9,5.98,0.00296
Olfr364-ps1,-9.2,5.98,0.00169
Cmas,-10.4,5.96,0.00301
Mustn1,-6.5,5.96,0.00514
Spata7,-6.9,5.94,0.0242
Gm20877,-5.5,5.93,0.00152
Dpp6,3.5,5.91,0.00312
Pafah1b1,7.1,5.91,0.00644
Tgfbr1,-8.3,5.86,0.00667
Gm10338,-5.8,5.85,0.00172
Gm5795,-5.8,5.85,0.00172
Bcl6,-5.1,5.84,0.00677
Dppa3,-4.9,5.83,0.00177
Cbfb,-4.4,5.8,0.00695
Ccdc126,-7.2,5.79,0.00535
Smim1,-9,5.79,0.00535
Dbp,-7.5,5.77,0.00711
Ebf1,-5,5.77,0.0256
Wac,-7.6,5.77,0.00952
Agr2,-5.7,5.76,0.00716
Stox2,-7.8,5.74,0.00956
Tead2,-6.4,5.74,0.00725
Nudt3,-6.6,5.72,0.00541
Tnfrsf13b,-4.7,5.72,0.00958
2700081O15Rik,-9.7,5.7,0.00542
Arel1,6.1,5.69,0.000826
Ssxb10,-6.8,5.69,0.00225
C2,-5.3,5.68,0.000838
Brms1l,7.9,5.66,0.0266
Eif2s2,-7.5,5.65,0.0267
Gm5546,-9.8,5.65,0.00247
Nrl,-5.1,5.65,0.0267
Tmem74b,0.8,5.65,0.0238
Gm4763,-10.3,5.64,0.00249
2010109A12Rik,5.4,5.63,0.00251
Gm17174,-4.6,5.63,0.00242
Mup4,-3.2,5.63,0.00242
Tcfl5,-5.5,5.63,0.0269
Gem,-6.8,5.62,0.00574
Rpa1,7,5.61,0.0079
Slc38a1,0.7,5.59,0.0245
Hip1r,-3.4,5.57,0.0247
Mmp15,-4,5.57,0.00808
Rest,4.7,5.57,0.000962
Tnnt2,-5.3,5.56,0.00811
Olfr536,-4.3,5.55,0.0027
Rassf10,-9.8,5.52,0.00591
Ankrd35,-3.3,5.51,0.028
Ccdc148,-8.4,5.51,0.00285
Igfl3,-7.2,5.51,0.0101
Gm5415,-5.3,5.5,0.00293
Specc1,-5.3,5.49,0.00835
Tmem53,2,5.48,0.026
Zkscan3,-7.4,5.46,0.0285
Mak16,-9,5.45,0.0286
Evx1,-7,5.44,0.0287
Hk1,4.9,5.44,0.00452
Cenpx,-11.9,5.43,0.0061
Zmym5,-3,5.43,0.0267
Olfr691,-7.8,5.42,0.0107
AV320801,-4.5,5.41,0.00342
Gm15023,-4.5,5.41,0.00342
Inpp5d,-5.5,5.37,0.0047
Thoc3,-9.5,5.37,0.0294
Nop56,-5.1,5.34,0.0297
Syt7,-3.8,5.33,0.00141
Cd19,-3.8,5.32,0.00886
Rab38,5.5,5.32,0.00886
Prrt1,-5.7,5.31,0.00424
Ddt,-7.2,5.3,0.0035
Fam219a,-4.9,5.27,0.00641
Tmem217,1.3,5.27,0.0286
ENSMUSG00000096266,-6.3,5.26,0.00485
Gdap1,-2.8,5.25,0.0288
Gm13288,-5,5.24,0.00512
Gm13289,-5,5.24,0.00512
Gm13290,-5,5.24,0.00512
Ifnz,-5,5.24,0.00512
ENSMUSG00000094376,-5,5.24,0.00512
ENSMUSG00000095694,-5,5.24,0.00512
ENSMUSG00000095695,-5,5.24,0.00512
Ak9,6.5,5.22,0.00651
Ctla2a,-7.4,5.22,0.00539
Cntnap5b,-9.2,5.21,0.0055
Cbr2,-4.2,5.19,0.00569
Ntmt1,-8,5.19,0.00658
Hes3,4.4,5.18,0.0315
Myocd,4.3,5.17,0.0316
Gm20498,-12.9,5.16,0.00414
Acot6,-7.1,5.15,0.00609
Psmc6,-6.9,5.14,0.00185
Vmn1r55,-5.1,5.14,0.00621
Vmn2r113,-8.2,5.14,0.00422
Ssxb5,-6.7,5.13,0.0063
2410004B18Rik,-2.3,5.12,0.0125
Slc10a3,-3.3,5.12,0.0301
Atp5l,-4.3,5.11,0.00192
Smim7,1.5,5.11,0.0303
Igkv17-121,-7.8,5.1,0.00453
Irx1,-4.6,5.1,0.0324
Olfr733,-7.5,5.09,0.0126
Rmi2,-3.9,5.07,0.0328
Sv2c,-8.5,5.07,0.00467
Deptor,-9.7,5.06,0.0329
Rasa1,-3.7,5.06,0.0096
Ctps,-5.5,5.05,0.033
Hoxc4,-5.4,5.05,0.033
Rpl7a,-9.5,5.05,0.00442
Edf1,-7.5,5.04,0.00446
Pcdhb1,-4.3,5.04,0.031
ENSMUSG00000094949,-3.9,5.03,0.00718
1700060C20Rik,-8.2,5.01,0.00494
Kcnj9,-6.7,5.01,0.0129
Pramel3,-4.4,5.01,0.00727
Fbxo30,-4.1,4.99,0.00215
Fmnl1,-5,4.99,0.00735
Vim,-3.6,4.97,0.00989
Zdhhc14,-4.4,4.97,0.0318
Trav12-2,-8.1,4.96,0.00519
Ccdc50,-7.3,4.95,0.00748
Pmis2,-9,4.95,0.00523
Slc37a2,-3.2,4.95,0.032
Vmn1r230,-5.5,4.93,0.00755
Tmem192,2,4.91,0.0325
Gdf9,-6.5,4.89,0.00699
Lce1i,6.4,4.89,0.00554
Tgm2,4.7,4.89,0.0101
Adamts5,5.1,4.87,0.0102
Pdcl2,-6.1,4.87,0.0354
Olfr1382,-6.3,4.85,0.00581
Tm9sf1,5.6,4.85,0.00246
4921539E11Rik,-5.4,4.84,0.00772
Med16,-4.3,4.84,0.0358
Mip,-5.1,4.83,0.0335
Rhbdl3,-2.9,4.83,0.0335
Srsf4,3.7,4.82,0.0361
Mup10,-2.9,4.81,0.00778
Gm6712,6.4,4.8,0.00605
Olfr916,-8.9,4.79,0.00781
Ngf,3.4,4.77,0.00718
Ttll5,6.3,4.76,0.0106
Cfap97,-9.6,4.74,0.0063
Aqp2,-3.4,4.73,0.00278
Esam,0.8,4.72,0.0351
H1fx,-8.8,4.72,0.0375
Myo1b,4.7,4.72,0.00589
Sdhaf4,-8,4.72,0.00589
Ptprg,-8.5,4.69,0.00766
Sbsn,-2.1,4.68,0.014
Tmem40,-7.6,4.68,0.014
Gng5,-9.5,4.67,0.00617
Relt,1.1,4.67,0.0359
Vmn1r57,-5.3,4.65,0.00801
Zbtb4,6.6,4.64,0.0386
Bricd5,-3,4.63,0.0366
Cytl1,4,4.63,0.0388
Nemp1,1,4.63,0.0366
Tmem156,1.4,4.63,0.0366
Tube1,-12.6,4.63,0.0111
Vmn1r72,-3.4,4.63,0.00803
A930009A15Rik,5,4.62,0.00685
1700028P14Rik,6.1,4.61,0.0145
Atad3a,6.7,4.61,0.00649
Ceacam10,-6.1,4.61,0.0391
Cdk5,-7.7,4.6,0.00819
Gm6526,4,4.6,0.00693
Nsun3,-2.3,4.6,0.0371
Srsf12,-7.5,4.6,0.00693
Bzw2,-8,4.59,0.0394
Tbc1d7,-3.1,4.59,0.00797
1700018B24Rik,5.6,4.58,0.00702
Ccdc174,-11,4.57,0.008
Ms4a2,-9.6,4.57,0.00835
Prr15,-5,4.57,0.0146
Gm10530,-12.7,4.56,0.00711
Gpr174,4.2,4.53,0.0148
Gtsf1,-9.4,4.51,0.00807
Spg20,-7.1,4.51,0.0074
ENSMUSG00000096334,-5,4.51,0.0407
Magohb,-4.7,4.49,0.041
Mmp1b,-5.4,4.49,0.0082
Col4a3bp,-3.8,4.48,0.00365
Serpinb3a,-3.9,4.48,0.00365
Vps37a,-3.8,4.46,0.00373
Aph1c,-3,4.44,0.00828
Olfr1157,-3.6,4.44,0.0154
Gm21956,4.1,4.43,0.00786
D130058E05Rik,-8.6,4.42,0.00793
Dvl3,-7,4.42,0.0422
Epc1,-4.5,4.42,0.0422
Trpm7,-8.3,4.42,0.00923
Vps25,-11.8,4.42,0.00923
Scmh1,-4.9,4.4,0.0411
Adgrg6,3.3,4.39,0.0157
Ptrhd1,-9.5,4.39,0.0427
Nkx2-3,-9.3,4.38,0.0429
ENSMUSG00000096364,-2.7,4.38,0.0415
Med31,-7.4,4.37,0.0431
Pfas,-9.5,4.37,0.00954
Mzf1,6.6,4.36,0.0432
Lysmd4,1,4.35,0.0421
Fezf1,-5.6,4.34,0.0436
Gm5885,3.9,4.34,0.00844
Tmco4,2,4.33,0.0425
Zfp839,-4.6,4.33,0.0437
Grifin,4.1,4.32,0.00847
3110002H16Rik,-2.1,4.31,0.043
Cyp2c65,-8.4,4.3,0.01
Ermn,-3.4,4.3,0.0166
Nap1l2,-5.2,4.3,0.0125
Fam174b,4.3,4.29,0.0168
Mroh2b,-4.1,4.29,0.0168
Otol1,6.1,4.29,0.0168
Psg26,-7,4.29,0.0085
Tmem88b,-7.2,4.29,0.0168
Zfp512,4.2,4.29,0.0445
Zfp57,-4.9,4.29,0.0445
Psmc1,-10.8,4.28,0.0126
Naip2,4.8,4.26,0.0126
Pla2g2a,-9,4.26,0.00914
Asl,3.9,4.25,0.0127
Sclt1,-9.5,4.25,0.00844
Abca9,4.6,4.24,0.0128
G6pdx,-10.7,4.22,0.0129
Tgs1,-5,4.22,0.0458
Celsr3,1.1,4.21,0.045
Cables2,-10.6,4.2,0.013
Sipa1l2,-6.4,4.2,0.0181
Slc16a5,-9.6,4.2,0.0108
Zfand5,-3.8,4.2,0.0051
Fthl17a,-8.1,4.19,0.00867
Ambn,-5.9,4.18,0.0185
ENSMUSG00000022269,-3.5,4.17,0.00531
Gnas,4.8,4.17,0.0132
Gm94,6.2,4.16,0.0191
