Gene_ID,Castle_Effect,Castle_Score,P_value
Cox17,-9,46.3,1.00E-06
Evi2,-16.5,42.2,1.00E-06
Zfp566,-6,37.4,4.00E-06
Runx1,-4.9,34.9,1.00E-06
Prickle4,-8.6,33.8,1.00E-06
Rbm12,-5.6,33.8,5.00E-06
Emc8,-9.3,32.6,1.00E-06
Rbm14,-5.6,30.9,1.50E-05
Ssxb2,-5.7,29.9,2.10E-05
Foxq1,-5.3,29.8,2.10E-05
Jmjd7,-9.4,29.5,1.00E-06
Taf6l,-6.3,29.1,2.50E-05
Lrfn3,-4.7,28.5,1.70E-05
Tada2b,-6.3,27.7,4.00E-05
Rps28,-8.9,27,1.00E-06
Sdhaf1,-8.3,27,1.00E-06
Olfr1416,-11.5,25.4,4.60E-05
Nkx2-3,-8.7,22.9,0.000329
Rragc,-8.9,22.4,3.00E-06
Isca1,-8.9,22.3,3.00E-06
Nectin4,-11.7,22.2,0.000782
Cyp2j12,-11.4,21,0.000337
Nt5c,10.1,20.3,0.000563
Nup188,-9.1,19.9,6.00E-06
Scand1,-7.4,19.9,0.00142
Actl7b,-9.3,19.4,1.00E-05
Asic1,-4,18.3,0.00208
Runx2,-5.6,17.8,2.10E-05
Brf1,-5.8,17.7,0.00232
Ing1,-10.1,17.5,0.00253
Sbf1,9.3,17.5,0.00078
Taf5l,-6,17.1,0.00259
2410004B18Rik,-3.7,16.3,0.000801
Lztr1,5.9,16.3,0.00271
Vmn2r99,-10.8,15.5,0.000682
Nxpe4,7.8,15.4,0.000813
Pdgfrb,9,14.5,0.00126
Ep300,-4.1,13.8,0.000133
Pla2g5,4.8,12.5,0.000288
Abca9,5.9,12.4,0.000299
Trrap,-7,12.4,0.00187
Lrrc8a,-3.7,12.3,3.00E-06
Arpc5,8.6,12.1,0.00196
Rpl9,-5.1,12.1,3.00E-06
Synb,-1.4,11.7,0.00222
Telo2,-14,11.3,0.000107
Igfbp5,-7.9,11.2,0.000527
Nf1,3.8,11.1,0.000553
Clcn2,8.5,11,0.00297
Dynlt1,-9.1,11,0.000582
Rbm4,-4.4,10.8,0.00527
Nrarp,-5.5,10.6,0.00562
AI429214,-2.7,10.5,0.00206
Galnt2,-3.7,10.5,2.40E-05
Lgals7,-3,10.3,0.00224
Olfr810,-3.3,10.3,0.00224
ENSMUSG00000046076,6.8,10.3,0.000722
Loxl1,7.5,10.2,0.00257
Ppp6r2,-4.6,10.1,0.000917
Srp54,-3.2,10.1,3.90E-05
Srp54b,-3.2,10.1,3.90E-05
Ighv15-2,-10.3,10,7.00E-06
ENSMUSG00000001417,8.4,9.94,0.0015
Cic,6.4,9.9,0.00103
Gata3,-4,9.87,0.00105
Gpr139,7.3,9.77,0.00315
Jph4,-6.1,9.72,0.0017
Atp5g2,-3.8,9.62,0.000111
Dchs1,2.1,9.61,0.00271
Defb23,6.7,9.57,0.00327
Trp53,3.4,9.55,0.00125
Zg16,-2.5,9.49,0.0033
Pld1,-3.1,9.45,0.00133
Rasa3,3.3,9.44,0.00134
ENSMUSG00000050431,-3.1,9.41,0.00336
Hcst,-2.5,9.36,0.0014
Smco4,-6.6,9.2,0.000899
Tnnt1,-7.3,9.19,0.00159
Wac,-9.2,9.12,0.00358
Olfr1281,-4.6,9.09,0.000923
Calca,-2.2,9.03,0.00369
ENSMUSG00000098753,-4.8,9.01,3.10E-05
Tfeb,4.8,8.97,0.00195
Fyb2,-4.2,8.93,0.0038
Lamtor5,4.1,8.87,0.00214
Ugt1a2,-9,8.87,0.00214
Rpl7a,-9.2,8.8,0.00292
Smim8,-2.7,8.79,0.00321
Sdhaf4,-7.8,8.75,0.00297
Cenpx,-12.8,8.72,0.000627
ENSMUSG00000075032,-3.8,8.72,0.000343
Edf1,-7.1,8.71,0.00302
Usf2,-2.6,8.67,0.00256
Ccdc38,-9.3,8.65,0.00437
Hmgcll1,-3.7,8.62,0.00444
Olfr714,-2.4,8.58,0.00447
Smad2,-7.7,8.57,0.00282
Psma5,-6,8.51,0.00909
Sult2b1,-3.9,8.5,0.003
Atg9b,8.5,8.39,0.00035
Luzp2,6.6,8.3,0.00475
Vmn1r57,-7.6,8.29,0.00109
Igkv17-127,-8,8.24,7.40E-05
Tnfrsf13b,-2.1,8.24,0.00482
Ptprt,5,8.23,0.00383
Nap1l2,-8.7,8.18,0.00399
Cox5a,4.6,8.16,0.00419
Scaf4,8.6,8.14,0.0106
Desi1,8.1,8.05,0.00424
Tada1,-6.4,8.03,0.00425
