Gene_ID,Castle_Effect,Castle_Score,P_value
Evi2,-16.6,40.3,6.00E-06
Runx1,-4.1,35,1.00E-06
Tada2b,-7.7,34.9,8.00E-06
Rbm12,-5.7,31.9,1.20E-05
Zfp566,-6,31.3,1.30E-05
Cox17,-8.9,31,1.00E-06
Foxq1,-5.4,28.3,2.30E-05
Rbm14,-5.7,27.9,2.70E-05
Jmjd7,-9.9,27.3,1.00E-06
Ssxb2,-5.7,26.8,4.70E-05
Olfr1416,-11.7,25.5,2.30E-05
Ing1,-8.7,25.2,0.000121
Lrrc8a,-5.1,23.5,1.00E-06
Sdhaf1,-8.9,23,1.00E-06
Cyp2j12,-12,21.7,5.90E-05
Taf6l,-6.3,21.5,0.000978
Nkx2-3,-8.2,21.2,0.00106
Prickle4,-8.5,20,1.00E-06
Emc8,-9.2,19.7,1.00E-06
2410004B18Rik,-4,19.6,0.000438
Cic,6.5,17.3,1.20E-05
Rps28,-8.8,17.3,2.00E-06
Nectin4,-10.8,17.1,0.000826
Runx2,-6.9,16.5,2.10E-05
Nup188,-9.3,16.4,3.00E-06
Brf1,-5.9,15.7,0.00275
Galnt2,-4.7,15.4,1.10E-05
Zfp235,-7.3,15.3,0.00279
Isca1,-8.9,15.2,8.00E-06
Rpl9,-6.6,15,2.40E-05
Atp5g2,-4.7,14.5,6.00E-05
Rragc,-8.7,14.5,1.40E-05
Igfbp5,-7.3,13.8,0.000103
ENSMUSG00000046076,10,13.4,0.000385
Atg9b,10,12.9,0.000318
Rbm4,-4.4,12.5,0.00337
Srp54,-3.5,12.3,0.000318
Srp54b,-3.5,12.3,0.000318
Dynlt1,-8.8,11.5,0.000405
Actl7b,-9,11.3,0.000103
Cd276,3.2,11.3,0.00137
Asic1,-3.3,11.1,0.00141
Ep300,-2.9,10.9,0.000552
Fyb2,-4.2,10.9,0.00146
Rps3a1,-4.6,10.9,0.000318
Abcg4,3.1,10.6,0.00155
Arpc5,8.4,10.4,0.000405
Pla2g5,6.2,10.4,0.000708
Ccdc126,-7.9,10.3,3.80E-05
Fiz1,-10.5,10.3,0.000745
Hist1h2ao,-3.8,10.3,0.000318
ENSMUSG00000001417,9.6,10.3,0.000229
Mustn1,-6.5,10.1,4.10E-05
Bcl6,-4.1,10,0.000899
Smco4,-8.2,10,0.000486
Sbf1,8.1,9.95,0.000584
Lgals7,-2.8,9.85,0.00199
Setd5,4,9.82,0.00191
Cd300a,-1.5,9.75,0.00195
Luzp2,8,9.69,0.00208
Cenpx,-12.5,9.59,5.30E-05
