Gene_ID,Castle_Effect,Castle_Score,P_value
Zfp566,-6.3,44.3,1.00E-06
Evi2,-16.8,43.6,1.00E-06
Cox17,-9.1,41.3,1.00E-06
Rbm12,-5.5,40.4,2.00E-06
Runx1,-7.5,38.4,1.00E-06
Rbm14,-6,37.5,3.00E-06
Foxq1,-5.7,36.7,3.00E-06
Taf6l,-7,35.3,3.00E-06
Ssxb2,-5.8,35.2,3.00E-06
Sdhaf1,-9.1,32.1,1.00E-06
Prickle4,-8.7,28.9,1.00E-06
Jmjd7,-9.8,27.3,1.00E-06
Slc10a3,-4.4,26.4,0.000133
Emc8,-9.3,26.1,1.00E-06
Lrfn3,-6,24.1,0.000577
Tada2b,-5.7,23.5,8.30E-05
Rps28,-9.1,23.2,1.00E-06
Asic1,-4.1,22.3,0.00264
Lrrc8a,-4.8,21.7,1.00E-06
Brf1,-6.2,21.6,0.000248
Nup188,-9.6,21,1.00E-06
Isca1,-9.1,20,2.00E-06
Rragc,-9,18.4,5.00E-06
Ep300,-6.6,16.2,5.00E-06
Actl7b,-9.4,16.1,1.40E-05
Rbm4,-4.8,15.2,0.00155
Celsr1,-3.8,14.8,0.00436
Galnt2,-4.8,14.5,0.000101
Atp5g2,-4.8,14.3,0.000138
Cyp2j12,-14.4,14.2,4.60E-05
Atg9b,12.2,13.5,0.000314
Runx2,-7.6,13.5,3.10E-05
Rpl9,-6.9,13.3,0.000468
ENSMUSG00000098753,-5.9,13.2,1.00E-06
ENSMUSG00000046076,11.7,12.7,0.000295
Olfr1416,-16.2,12.5,0.000412
Kcnj15,-3.7,12.1,0.0056
Lztr1,5.7,11.9,0.00334
ENSMUSG00000001417,12.1,11.8,0.000238
Srp54,-3.6,11.7,0.00047
Srp54b,-3.6,11.7,0.00047
Nectin4,-16.5,11.6,0.000836
Dynlt1,-8.4,11.4,0.000139
Arid3b,-5.4,10.9,0.00416
Tmsb15l,8.7,10.8,0.000309
Ighv15-2,-11.4,10.6,1.70E-05
Mmp13,-4.7,10.6,0.000118
Nkx2-3,-6.6,10.5,0.00474
Gm4736,9.7,10.2,2.70E-05
Olfr1156,-15.6,10,0.00128
Hist1h2ao,-3.9,9.96,0.000481
Tmem53,-3.6,9.94,0.00703
Zfp14,-6.5,9.87,0.00618
Uqcc3,-11.5,9.85,3.30E-05
Synb,-1.5,9.63,0.00722
Tada1,-7.8,9.56,0.000246
Mip,-3.2,9.52,0.00731
Luzp2,8.3,9.41,0.00128
Taf5l,-4.2,9.29,0.00747
Gm14305,-6,9.25,0.00756
Rps3a1,-4.4,9.25,0.000492
Catsper1,-3.5,9.15,0.00777
Dhx30,9.8,9.01,0.00158
Scand1,-6,9,0.00794
Bod1,-10.3,8.97,0.000939
Gata3,-4.5,8.97,0.000939
Igkv17-127,-8.9,8.86,0.000112
Bcl6,-3.7,8.85,0.000991
Psma5,-6.2,8.76,0.00837
4930447A16Rik,10.6,8.66,0.000134
Nbea,-4.8,8.61,0.00876
Tprn,-6.9,8.59,4.80E-05
Usf2,-5,8.55,0.00115
Zfp595,-6.3,8.55,0.00889
Cabp1,-2.8,8.45,0.00841
Ighv11-1,-4.9,8.21,0.000227
Xlr,-6.2,8.12,0.0014
Rpl10,-8.5,8.09,0.00276
Zik1,-4.9,8.08,0.0102
Jph4,-6.7,8.04,0.00287
Bambi,-3.3,8.02,0.00879
Gm17391,6.5,7.97,0.000298
BC052040,-6.1,7.94,0.00155
Ppp6r2,-4.9,7.92,0.00156
Atad3a,7.6,7.84,0.00324
Fiz1,-9.8,7.84,0.00165
Cenpx,-13,7.78,0.000188
Sumo1,8.1,7.76,0.00172
2410004B18Rik,-9.3,7.69,0.00172
Grin2a,-4.8,7.63,0.00188
Ugt2b5,9.1,7.59,0.00192
Nrf1,12,7.57,0.00386
Olfr364-ps1,-8.7,7.51,0.000453
Rgs8,-15.1,7.51,0.00172
Olfr1032,-4.1,7.45,0.00172
Setd5,3.7,7.44,0.0096
Cd99l2,-2.9,7.41,0.00965
Scmh1,-3.2,7.39,0.00969
Gnat2,-8.2,7.36,0.000293
Ddx54,-8.6,7.34,0.00234
Gng5,-9.5,7.33,0.00459
Ing1,-4.7,7.3,0.0132
Eri1,11.5,7.25,0.0048
Morc3,-11.2,7.23,0.000343
Stox2,-14.7,7.23,0.00262
Ccdc126,-9.4,7.22,0.000349
Zfp385b,-4.9,7.17,0.0137
Gja1,-6.8,7.16,0.0028
Sdhaf4,-7.9,7.11,0.00521
Olfr641,7.5,7.07,0.00262
Smco4,-10.6,7.04,0.000894
Nap1l2,-6.7,6.97,0.00322
S100z,-5.6,6.97,0.000462
Rpl7a,-9.4,6.93,0.00584
Vgll1,-3.2,6.93,0.0146
Trav12d-3,6.2,6.89,0.00102
Trav12n-3,6.2,6.89,0.00102
Fam69a,-3.2,6.88,0.0111
Ptprt,13.6,6.86,0.00343
Nxpe4,7.6,6.85,0.00307
Knop1,-5.2,6.84,0.00139
Rpl21,-5.6,6.83,0.0149
Pdgfd,-10.4,6.81,0.00352
Mzt1,-11,6.79,0.00175
Gm6880,5.3,6.78,0.000949
Hist1h2ag,-4.2,6.76,0.000992
ENSMUSG00000075032,-3.3,6.67,0.00103
Ankrd66,-14.5,6.66,0.00394
Nkiras1,9.1,6.62,0.00708
Cbr2,-6.9,6.56,0.00101
Ccdc28a,-4.8,6.55,0.00339
Specc1,-5.9,6.54,0.00417
Trak2,8.7,6.54,0.00745
Hoxc4,-5.3,6.53,0.0159
Mustn1,-7.4,6.51,0.00358
Igfbp5,-4.7,6.5,0.00429
Chst11,-2.8,6.47,0.0122
Gm11596,-12.8,6.47,0.00394
A530084C06Rik,9.6,6.43,0.00186
Adnp,-5.8,6.42,0.0164
St6galnac5,-5.7,6.39,0.0165
Gm5258,-6.2,6.38,0.00196
Edf1,-7.1,6.37,0.00837
Alb,10.2,6.35,0.00137
Tbc1d7,-5,6.35,0.0047
Trav12d-1,-3.7,6.34,0.00207
Trav12n-1,-3.7,6.34,0.00207
Tead2,-6.2,6.3,0.00508
BC048562,-12.9,6.28,0.00394
Sp2,-3.3,6.28,0.0169
Ccnt1,-6.2,6.24,0.00534
Efcab1,-13,6.24,0.00394
Loxl1,8.6,6.21,0.00394
Olfr916,-11.5,6.21,0.00113
Olfr1446,7.4,6.19,0.00114
1700021A07Rik,-9,6.14,0.00279
Pspn,-11.1,6.14,0.00582
Spen,9.6,6.1,0.00614
Gldc,7.6,6.09,0.00166
1700019A02Rik,-11.2,6.08,0.00306
Fam135b,8.2,6.07,0.00394
Ntmt1,-10.9,6.07,0.00634
Cd19,-3.6,6.06,0.00641
Map1lc3b,4.8,6.04,0.00158
Adgrf5,-12.7,6.03,0.00479
Thoc3,-5.6,6.03,0.018
Serpina1c,-2.8,6.02,0.00682
Szrd1,-7.7,6,0.00714
Tgfbr1,-6.8,6,0.00682
Carmil2,-9.1,5.99,0.00689
Med13,-2.6,5.99,0.0183
E130114P18Rik,-5.4,5.97,0.00332
Llph,-3.1,5.96,0.0146
Itgb4,-5.9,5.95,0.0106
Pla2g5,10.7,5.95,0.00721
Vps25,-9.3,5.94,0.00185
Syt12,-7.4,5.93,0.0107
Dkk1,-4.8,5.9,0.00758
ENSMUSG00000095415,-9.5,5.9,0.0035
C2,-5.9,5.89,0.00171
Pdgfc,8.5,5.88,0.00479
Ugt1a1,-9.7,5.88,0.00772
1700066M21Rik,-8.7,5.87,0.00833
Zkscan3,-4,5.85,0.0192
Trappc9,9.3,5.8,0.00888
Gm4763,-11.5,5.78,0.00396
Vmn1r57,-10.9,5.75,0.00143
Zfp523,-2,5.73,0.0201
Igfbp1,10.4,5.72,0.00915
Gm5885,6.5,5.71,0.00148
Car6,5.6,5.7,0.00224
Ndufb2,-7,5.7,0.00933
Rassf10,-10.9,5.7,0.00917
Srsf12,-5.7,5.7,0.00415
Ccdc38,-14,5.69,0.00526
Klhl18,10.6,5.69,0.00193
Cxcl1,-5,5.68,0.00956
Lrrc31,-12.8,5.64,0.0043
Optc,-14,5.64,0.00571
Rhox12,7,5.63,0.00156
Robo2,-4.3,5.63,0.0101
Nr4a3,8.8,5.62,0.0102
Oprk1,5.8,5.61,0.00239
Slc25a32,9.9,5.61,0.0129
Tpm3,-5.6,5.61,0.0104
D130058E05Rik,-11,5.59,0.00443
Zrsr2,-4.4,5.59,0.0106
AI429214,-6.5,5.58,0.00571
Gmfg,-4.8,5.58,0.00951
Adamtsl1,12.4,5.57,0.0109
Mmadhc,-7.5,5.57,0.0132
Tank,13.8,5.57,0.0109
Gria1,-6.9,5.55,0.00251
1700029H14Rik,-4.2,5.54,0.00966
Nudt15,8.6,5.54,0.00966
Slc23a3,-2.7,5.54,0.016
Gm10530,-11.3,5.53,0.00463
Gm973,-7.1,5.53,0.00969
Map7,8.3,5.5,0.0138
