Symbol,casTLE_Effect,pvalue
1-Sep,2.8,0.109
2-Sep,0.6,0.544
3-Sep,0,0.676
4-Sep,2.8,0.0797
5-Sep,-0.4,0.524
6-Sep,0,0.676
7-Sep,0,0.676
9-Sep,0,0.676
10-Sep,1.5,0.27
11-Sep,0,0.676
12-Sep,4.6,0.0939
0610010K14Rik,-3.4,0.187
1700088E04Rik,0,0.784
2010005H15Rik,0,0.676
2300002M23Rik,1.3,0.243
2700049A03Rik,-4.5,0.0302
2810403A07Rik,-1.9,0.294
3110082I17Rik,-9.5,0.0162
3830406C13Rik,2.2,0.322
4921507P07Rik,3.2,0.116
4930402H24Rik,-3.2,0.444
4930447C04Rik,-0.2,0.652
4930578C19Rik,2,0.243
4933417A18Rik,-1.1,0.402
4933430I17Rik,0.2,0.573
5031439G07Rik,3.6,0.0972
5730455P16Rik,0.5,0.672
6430548M08Rik,-2.4,0.462
6820408C15Rik,1.3,0.479
9430015G10Rik,-0.2,0.601
A230050P20Rik,2.7,0.0649
A2m,0,0.676
A4galt,5.3,0.0663
Aacs,0,0.676
Aadacl2,0,0.784
Aadat,0.7,0.367
Aanat,-0.9,0.453
Aars2,-10.5,0.066
Aarsd1,-4,0.177
Aatk,0,0.784
Abat,1.5,0.302
Abca1,3.9,0.132
Abca13,3.8,0.0695
Abca3,0.5,0.51
Abca5,1.6,0.369
Abca6,1.5,0.346
Abca7,-0.1,0.652
Abca9,2.7,0.132
Abcb10,0,0.676
Abcb11,0.4,0.55
Abcb1a,1.1,0.249
Abcb8,1.5,0.244
Abcc1,5.4,0.0649
Abcc2,-10.6,0.159
Abcc3,1.1,0.333
Abcc4,0,0.676
Abcd2,0.3,0.478
Abcd4,-2.8,0.0411
Abcf3,-0.9,0.594
Abcg1,-4,0.308
Abcg2,-4.7,0.234
Abhd17a,0,0.676
Abi1,-0.7,0.363
Abi2,-1.2,0.571
Abl1,1,0.416
Abl2,-0.3,0.711
Ablim1,0,0.707
Ablim2,0,0.676
Ablim3,0.2,0.565
Abra,-0.1,0.658
Abraxas2,1.8,0.208
Abtb1,-0.2,0.579
Acaca,-2,0.465
Acacb,1.4,0.356
Acad8,-1.9,0.414
Acadm,0,0.676
Acads,0,0.784
Acadsb,-9.4,0.474
Acap3,-0.5,0.466
Acat1,-5.4,0.476
Acat2,-10.9,0.45
Acat3,-5.3,0.0131
Accs,0.7,0.532
Acd,-11.1,0.0285
Ace,-0.3,0.65
Ace2,-2.8,0.358
Ache,1,0.484
Aco2,0,0.676
Acot1,-0.5,0.459
Acot13,0.3,0.675
Acox1,0,0.784
Acp1,-0.4,0.67
Acp2,1.8,0.297
Acp4,-3.4,0.199
Acp6,-0.5,0.728
Acpp,0,0.784
Acrbp,0,0.707
Acsbg1,0,0.676
Acsl1,0,0.784
Acsl3,-5.2,0.23
Acsl4,-2.4,0.214
Acsl5,0,0.676
Acsl6,-0.4,0.538
Acss1,-0.6,0.288
Acss2,3.5,0.0683
Acta1,-4.1,0.383
Acta2,2,0.228
Actg1,0,0.676
