Gene,Symbol,casTLE_Effect,casTLE_Score,pvalue,Logpvalue
ENSMUSG00000000486,1-Sep,0.9,0.305,0.262,0.581698709
ENSMUSG00000026276,2-Sep,0,0,0.594,0.226213555
ENSMUSG00000022456,3-Sep,0.1,0.00316,0.58,0.236572006
ENSMUSG00000020486,4-Sep,3,2.46,0.0647,1.189095719
ENSMUSG00000072214,5-Sep,0,0,0.594,0.226213555
ENSMUSG00000050379,6-Sep,0,0,0.594,0.226213555
ENSMUSG00000001833,7-Sep,0,0,0.594,0.226213555
ENSMUSG00000059248,9-Sep,0,0,0.594,0.226213555
ENSMUSG00000019917,10-Sep,1,0.526,0.202,0.694648631
ENSMUSG00000058013,11-Sep,0,0,0.594,0.226213555
ENSMUSG00000022542,12-Sep,-0.5,0.206,0.307,0.512861625
ENSMUSG00000020831,0610010K14Rik,1.6,2.02,0.155,0.809668302
ENSMUSG00000033029,1700088E04Rik,-0.6,0.203,0.461,0.336299075
ENSMUSG00000095620,2010005H15Rik,-0.4,0.126,0.377,0.42365865
ENSMUSG00000039269,2300002M23Rik,1.5,1.03,0.134,0.872895202
ENSMUSG00000020133,2310011J03Rik,0,0,0.594,0.226213555
ENSMUSG00000034601,2700049A03Rik,0,0,0.594,0.226213555
ENSMUSG00000028060,2810403A07Rik,0,0,0.72,0.142667504
ENSMUSG00000053553,3110082I17Rik,-0.3,0.174,0.33,0.48148606
ENSMUSG00000033111,3830406C13Rik,0.4,0.0565,0.463,0.334419009
ENSMUSG00000029828,4921507P07Rik,0.6,0.242,0.288,0.540607512
ENSMUSG00000027309,4930402H24Rik,-5.1,2.04,0.153,0.815308569
ENSMUSG00000021098,4930447C04Rik,1.2,2.37,0.125,0.903089987
ENSMUSG00000037358,4930578C19Rik,0,0,0.594,0.226213555
ENSMUSG00000021415,4933417A18Rik,2,5.13,0.0322,1.492144128
ENSMUSG00000058046,4933430I17Rik,-3.9,2.03,0.154,0.812479279
ENSMUSG00000036046,5031439G07Rik,1.5,1.03,0.134,0.872895202
ENSMUSG00000057181,5730455P16Rik,1.2,0.762,0.29,0.537602002
ENSMUSG00000031824,6430548M08Rik,0,0,0.594,0.226213555
ENSMUSG00000032680,6820408C15Rik,0.9,0.178,0.327,0.485452247
ENSMUSG00000059939,9430015G10Rik,0,0,0.594,0.226213555
ENSMUSG00000038884,A230050P20Rik,1.9,2.29,0.0682,1.166215625
ENSMUSG00000030111,A2m,-1.7,3.95,0.0413,1.384049948
ENSMUSG00000047878,A4galt,2.5,1.86,0.0799,1.097453221
ENSMUSG00000029482,Aacs,-0.3,0.108,0.404,0.393618635
ENSMUSG00000091376,Aadacl2,-0.3,0.0642,0.588,0.230622674
ENSMUSG00000057228,Aadat,0,0,0.594,0.226213555
ENSMUSG00000020804,Aanat,0.6,0.185,0.469,0.328827157
ENSMUSG00000023938,Aars2,-7.7,1.21,0.217,0.663540266
ENSMUSG00000075528,Aarsd1,-0.1,0.0427,0.635,0.197226275
ENSMUSG00000018697,Aatf,0,0,0.594,0.226213555
ENSMUSG00000025375,Aatk,0,0,0.766,0.11577123
ENSMUSG00000057880,Abat,4.2,2.32,0.0776,1.110138279
ENSMUSG00000015243,Abca1,1.9,0.606,0.186,0.730487056
ENSMUSG00000004668,Abca13,0.7,0.397,0.233,0.632644079
ENSMUSG00000024130,Abca3,0,0,0.594,0.226213555
ENSMUSG00000018800,Abca5,-0.2,0.0256,0.518,0.28567024
ENSMUSG00000044749,Abca6,0,0,0.594,0.226213555
ENSMUSG00000035722,Abca7,-0.4,0.145,0.36,0.443697499
ENSMUSG00000041797,Abca9,6.1,9.72,0.0175,1.756961951
ENSMUSG00000031974,Abcb10,0.2,0.0346,0.497,0.303643611
ENSMUSG00000027048,Abcb11,0,0,0.594,0.226213555
ENSMUSG00000040584,Abcb1a,2.1,0.664,0.178,0.749579998
ENSMUSG00000028973,Abcb8,0,0,0.594,0.226213555
ENSMUSG00000023088,Abcc1,1.9,1.05,0.132,0.879426069
ENSMUSG00000025194,Abcc2,-8.3,1.31,0.201,0.696803943
ENSMUSG00000020865,Abcc3,1.1,0.597,0.188,0.725842151
ENSMUSG00000032849,Abcc4,0,0,0.594,0.226213555
ENSMUSG00000055782,Abcd2,4.4,3.04,0.0968,1.014124643
ENSMUSG00000021240,Abcd4,0,0,0.594,0.226213555
ENSMUSG00000003234,Abcf3,-0.3,0.202,0.531,0.274905479
ENSMUSG00000024030,Abcg1,-5.6,2.4,0.0725,1.139661993
ENSMUSG00000029802,Abcg2,1.4,1.06,0.347,0.459670525
ENSMUSG00000003346,Abhd17a,-0.1,0.00938,0.558,0.253365801
ENSMUSG00000058835,Abi1,0,0,0.594,0.226213555
ENSMUSG00000026782,Abi2,0.7,0.321,0.495,0.305394801
ENSMUSG00000026842,Abl1,0,0,0.766,0.11577123
ENSMUSG00000025085,Ablim1,-7.7,1.4,0.274,0.562249437
ENSMUSG00000029095,Ablim2,0,0,0.594,0.226213555
ENSMUSG00000032735,Ablim3,-3.2,3.94,0.0632,1.199282922
ENSMUSG00000042895,Abra,0,0,0.72,0.142667504
ENSMUSG00000030965,Abraxas2,0,0,0.594,0.226213555
ENSMUSG00000030083,Abtb1,0.1,0.0162,0.535,0.271646218
ENSMUSG00000020532,Acaca,-2.2,1.69,0.151,0.821023053
ENSMUSG00000042010,Acacb,0,0,0.766,0.11577123
ENSMUSG00000062908,Acadm,-0.2,0.04,0.486,0.313363731
ENSMUSG00000029545,Acads,0.9,0.211,0.454,0.342944147
ENSMUSG00000030861,Acadsb,-6.6,0.479,0.347,0.459670525
ENSMUSG00000029033,Acap3,0,0,0.72,0.142667504
ENSMUSG00000032047,Acat1,0,0,0.766,0.11577123
ENSMUSG00000023832,Acat2,-8.2,0.0891,0.554,0.256490235
ENSMUSG00000062480,Acat3,0,0,0.766,0.11577123
ENSMUSG00000040272,Accs,1.1,0.324,0.398,0.400116928
ENSMUSG00000038000,Acd,-2.1,2.03,0.154,0.812479279
ENSMUSG00000020681,Ace,0.6,0.117,0.525,0.279840697
ENSMUSG00000015405,Ace2,1,0.15,0.496,0.304518324
ENSMUSG00000023328,Ache,-3.5,1.56,0.166,0.779891912
ENSMUSG00000022477,Aco2,0,0,0.594,0.226213555
ENSMUSG00000072949,Acot1,0,0,0.72,0.142667504
ENSMUSG00000006717,Acot13,0.3,0.0441,0.618,0.209011525
ENSMUSG00000020777,Acox1,-0.1,0.00132,0.761,0.118615343
ENSMUSG00000044573,Acp1,0.4,0.0316,0.643,0.191789027
ENSMUSG00000002103,Acp2,0.3,0.0283,0.65,0.187086643
ENSMUSG00000012777,Acp4,1.3,0.35,0.385,0.41453927
ENSMUSG00000028093,Acp6,0,0,0.766,0.11577123
