Symbol,casTLE_Effect,pvalue
1-Sep,0,0.697
2-Sep,1.1,0.232
3-Sep,0.3,0.583
4-Sep,4,0.0446
5-Sep,0,0.697
6-Sep,0,0.697
7-Sep,0,0.697
9-Sep,0,0.697
10-Sep,5.9,0.0504
11-Sep,0,0.697
12-Sep,3.8,0.11
0610010K14Rik,2.3,0.315
1700088E04Rik,0,0.79
2010005H15Rik,0,0.697
2300002M23Rik,1.2,0.256
2700049A03Rik,0,0.697
2810403A07Rik,0,0.824
3110082I17Rik,-3.1,0.0147
3830406C13Rik,1.8,0.256
4921507P07Rik,2.1,0.458
4930402H24Rik,-2.7,0.103
4930447C04Rik,2.2,0.474
4930578C19Rik,1.9,0.217
4933417A18Rik,2.7,0.0185
4933430I17Rik,-4.8,0.278
5031439G07Rik,1.8,0.268
5730455P16Rik,0.8,0.482
6430548M08Rik,1,0.382
6820408C15Rik,5.1,0.109
9430015G10Rik,-0.8,0.242
A230050P20Rik,3.2,0.0378
A2m,-1.3,0.12
A4galt,5.2,0.0454
Aacs,-0.6,0.383
Aadacl2,0,0.79
Aadat,0,0.697
Aanat,5.6,0.323
Aars2,-7.5,0.186
Aarsd1,0,0.824
Aatf,-0.3,0.615
Aatk,0,0.79
Abat,-3.4,0.208
Abca1,-0.3,0.554
Abca13,3,0.0614
Abca3,2.1,0.267
Abca5,1.6,0.281
Abca6,-0.3,0.572
Abca7,-0.2,0.573
Abca9,6.3,0.118
Abcb10,0.9,0.479
Abcb11,4.1,0.103
Abcb1a,1.5,0.356
Abcb8,0,0.697
Abcc1,-0.2,0.58
Abcc2,-8,0.346
Abcc3,5,0.169
Abcc4,-0.5,0.45
Abcd2,3.9,0.141
Abcd4,0,0.697
Abcf3,0,0.824
Abcg1,-4.3,0.0284
Abcg2,3.3,0.414
Abhd17a,-0.9,0.127
Abi1,0,0.697
Abi2,-0.4,0.625
Abl1,1.1,0.474
Abl2,0.8,0.659
Ablim1,-7.8,0.00413
Ablim2,0,0.697
Ablim3,-2.5,0.16
Abra,0,0.824
Abraxas2,-0.3,0.551
Abtb1,0,0.697
Acaca,-1.9,0.182
Acacb,2.5,0.329
Acad8,0,0.79
Acadm,0.5,0.562
Acads,4.5,0.335
Acadsb,-6.3,0.512
Acap3,0,0.824
Acat1,1.4,0.445
Acat2,-8,0.277
Acat3,-6.2,0.297
Accs,0.8,0.538
Acd,-2.9,0.14
Ace,0,0.79
Ace2,2.8,0.338
Ache,-0.8,0.407
Aco2,0,0.697
Acot1,0.3,0.77
Acot13,0.7,0.481
Acox1,-0.6,0.567
Acp1,0.1,0.786
Acp2,0.8,0.546
Acp4,-0.1,0.775
Acp6,0.9,0.526
Acpp,-7.9,0.476
Acrbp,-0.5,0.57
Acsbg1,0,0.697
Acsl1,-6.3,0.596
Acsl3,-5.5,0.341
Acsl4,0,0.79
Acsl5,0,0.697
Acsl6,-0.4,0.406
Acss1,0,0.697
Acss2,3.9,0.0308
Acta1,-4.1,0.26
