Symbol,casTLE_Effect,pvalue
1-Sep,1.9,0.259
2-Sep,3.7,0.276
3-Sep,0,0.807
4-Sep,7,0.0758
5-Sep,0.8,0.466
6-Sep,0,0.807
7-Sep,0,0.807
9-Sep,7.7,0.117
10-Sep,11,0.167
11-Sep,3.4,0.298
12-Sep,6.3,0.13
0610010K14Rik,7.9,0.0507
1700088E04Rik,-0.4,0.759
2010005H15Rik,0,0.807
2300002M23Rik,8.8,0.143
2310011J03Rik,-0.5,0.661
2700049A03Rik,-2.6,0.0772
2810403A07Rik,-0.9,0.356
3110082I17Rik,-6.9,0.00275
3830406C13Rik,0.8,0.583
4921507P07Rik,7.4,0.394
4930402H24Rik,-2.8,0.101
4930447C04Rik,-0.2,0.753
4930578C19Rik,0.7,0.514
4933417A18Rik,8.2,0.0813
4933430I17Rik,-3.3,0.309
5031439G07Rik,2.2,0.11
5730455P16Rik,3.4,0.446
6430548M08Rik,-0.3,0.684
6820408C15Rik,0.5,0.615
9430015G10Rik,-0.7,0.404
A230050P20Rik,1.9,0.251
A2m,7.4,0.682
A4galt,4.7,0.1
Aacs,-0.1,0.796
Aadacl2,0,0.897
Aadat,0.5,0.589
Aanat,1.2,0.347
Aars2,-7.5,0.196
Aarsd1,-3,0.581
Aatf,0,0.807
Aatk,0,0.897
Abat,2.8,0.208
Abca1,2.1,0.124
Abca13,6.9,0.176
Abca3,7.7,0.533
Abca5,0.4,0.722
Abca6,0,0.807
Abca7,-0.1,0.752
Abca9,0,0.807
Abcb10,8.3,0.139
Abcb11,1.9,0.144
Abcb1a,1.6,0.268
Abcb8,0.6,0.65
Abcc1,3.7,0.0668
Abcc2,-8.1,0.216
Abcc3,10.3,0.132
Abcc4,0,0.807
Abcd2,1,0.54
Abcd4,-1.2,0.255
Abcf3,2.6,0.383
Abcg1,-3.8,0.00522
Abcg2,-1,0.608
Abhd17a,0,0.807
Abi1,0,0.807
Abi2,0,0.827
Abl1,3.7,0.393
Abl2,0,0.897
Ablim1,-6.9,0.252
Ablim2,0,0.807
Ablim3,-1.3,0.418
Abra,-0.6,0.651
Abraxas2,0.1,0.772
Abtb1,0.1,0.779
Acaca,-2.6,0.155
Acacb,9.7,0.334
Acad8,3.8,0.227
Acadm,-0.7,0.443
Acads,11.2,0.0628
Acadsb,-6.4,0.378
Acap3,1.8,0.738
Acat1,5.5,0.237
Acat2,3,0.328
Acat3,-5.9,0.0178
Accs,2.4,0.562
Acd,-4.9,0.151
Ace,-0.2,0.811
Ace2,2,0.276
Ache,0,0.897
Aco2,-0.4,0.586
Acot1,-0.1,0.821
Acot13,4.9,0.296
Acox1,-0.5,0.798
Acp1,0.9,0.696
Acp2,1.1,0.575
Acp4,0.5,0.791
Acp6,-0.1,0.866
Acpp,-7.9,0.569
Acrbp,-0.5,0.638
Acsbg1,-1.1,0.442
Acsl1,1.1,0.755
Acsl3,0,0.897
Acsl4,6.2,0.636
Acsl5,0,0.807
Acsl6,0,0.807
Acss1,0,0.807
Acss2,8.7,0.00252
Acta1,-5,0.469
Acta2,0.7,0.482
Actg1,0.5,0.675
Actl6b,0,0.807
Actr2,3.5,0.316
Actr3,3.8,0.105
Actr3b,2,0.735
Actr8,0,0.807
Acvr1,7.6,0.308
Acvr1b,0.5,0.769
Acvr1c,-6.2,0.345
Acvr2a,1.3,0.702
Acvr2b,0,0.897
Acvrl1,1,0.771
Acy1,0.4,0.792
Acy3,8.5,0.323
Acyp1,3.1,0.222
Acyp2,0.1,0.886
Ada,0,0.807
Adad1,7.3,0.582
Adad2,5.6,0.343
Adam12,11.7,0.0424
Adam15,0.1,0.776
Adam17,-2.8,0.0627
Adam19,-0.2,0.673
Adam22,0,0.807
Adam23,0,0.807
Adam25,-2.5,0.0736
Adam28,2.9,0.315
Adam33,-0.3,0.855
Adamts12,-0.1,0.805
Adamts20,-0.2,0.731
Adamts5,8.3,0.0553
Adamtsl1,12.9,0.00784
Adamtsl3,3.2,0.149
Adamtsl5,11,0.113
Adap1,4.4,0.19
Adar,-0.5,0.572
Adarb1,0,0.827
Adck1,0,0.897
Adck2,-0.4,0.692
Adck5,-7.3,0.33
Adcy1,-0.3,0.646
Adcy10,0,0.807
Adcy2,1.6,0.362
Adcy3,0.7,0.52
Adcy4,8.3,0.145
Adcy5,1,0.432
Adcy6,-0.4,0.641
Adcy7,0,0.807
Adcy8,-0.2,0.741
Adcy9,1.1,0.393
Adcyap1,0.6,0.614
Add1,-0.5,0.6
Adgra1,-1,0.524
Adgrb1,3.1,0.15
Adgrb3,8.8,0.132
Adgre5,0.2,0.76
Adgrg4,0.6,0.538
Adgrl3,0.5,0.669
Adh1,-5.9,0.559
Adh4,-2.5,0.553
Adh5,2.5,0.421
Adh7,3.2,0.0804
Adhfe1,4.8,0.441
Adk,-0.7,0.743
Adm,-0.1,0.77
Adm2,1.2,0.29
Adnp,0,0.827
Adnp2,1.6,0.267
Adora1,9.3,0.143
Adora2a,0.7,0.593
Adora2b,-7.8,0.394
Adora3,8.9,0.418
Adprhl1,9.4,0.0606
Adra1a,4.6,0.561
Adra1b,0,0.897
Adra1d,-4.4,0.35
Adra2a,2.3,0.743
Adra2b,0.1,0.887
Adra2c,1.8,0.388
Adrb1,7.1,0.0372
Adrb2,0,0.897
Adrb3,-7.4,0.266
Adss,4.7,0.236
Adssl1,9.8,0.388
Aebp2,6.4,0.0954
Aes,0,0.827
Afap1l2,0.1,0.749
Afdn,0,0.807
Aff3,-0.2,0.763
Aff4,10.7,0.142
Afg3l2,-0.6,0.758
Afmid,0,0.807
Afp,-0.7,0.405
Agap2,8.5,0.332
Agfg2,-0.1,0.774
Aggf1,-0.5,0.67
Ago1,6.8,0.0692
Ago2,-1,0.55
Ago3,4.6,0.526
Ago4,4.1,0.494
Agpat2,0.3,0.583
Agpat3,-8.8,0.273
Agr2,-0.7,0.388
Agrn,4.9,0.587
Agt,1.4,0.418
Agtr1a,2.9,0.127
Agtr2,0,0.897
Agxt,-0.3,0.804
Agxt2,-0.4,0.749
Ahctf1,-0.6,0.696
Ahcyl2,1,0.565
Ahdc1,-0.2,0.765
Ahnak,-0.1,0.779
Ahr,0.9,0.685
Ahrr,-3.2,0.106
AI314180,3.4,0.115
Aicda,0.8,0.441
Aif1,0.6,0.762
Aifm2,3.6,0.388
Aimp1,0,0.827
Aire,1.2,0.286
Ajuba,11.1,0.262
Ak1,9.1,0.0697
Ak2,-6.2,0.76
Ak3,0,0.897
Ak4,0,0.897
Ak5,-8.1,0.218
Ak7,9,0.222
Ak8,-2.4,0.242
Akap1,0,0.897
Akap10,-3.9,0.0789
Akap11,-0.2,0.851
Akap12,6.1,0.62
Akap13,0.3,0.806
Akap14,6.2,0.39
Akap2,0.4,0.656
Akap3,6.7,0.0369
Akap4,-0.2,0.8
Akap5,2.8,0.466
Akap6,0,0.897
Akap7,0,0.897
Akap8,3.1,0.22
Akap8l,1,0.603
Akna,0,0.827
Akp3,0.9,0.603
Akr1a1,1.2,0.608
Akr1b3,-0.6,0.593
Akr1b8,-2.8,0.203
Akr1c18,1.9,0.321
Akr1c21,0.6,0.476
Akr1c6,1.6,0.168
Akr1d1,0,0.807
Akt1,-5,0.146
Akt3,7.4,0.226
Aktip,0,0.827
Alad,0,0.807
Alas1,-7,0.521
Alas2,7.4,0.115
Alcam,0.2,0.72
Aldh18a1,0.9,0.623
Aldh1a1,0.2,0.724
Aldh1a2,-0.2,0.858
Aldh1a3,2,0.585
Aldh1a7,0,0.827
Aldh1b1,3.8,0.299
Aldh1l1,-0.7,0.559
Aldh2,-0.2,0.745
Aldh3a1,0,0.897
Aldh3a2,0.1,0.892
Aldh3b1,-7.8,0.165
Aldh4a1,3.8,0.517
Aldh5a1,0,0.897
Aldh6a1,-0.2,0.714
Aldh7a1,0,0.807
Aldoa,0.9,0.549
Aldob,-1.8,0.227
Aldoc,0,0.807
Alg12,4,0.31
Alk,-6.2,0.345
Alkbh2,-9.2,0.00211
Alkbh3,-0.9,0.384
Alkbh8,0.5,0.643
Allc,4.8,0.345
Alms1,5.7,0.275
Alox12,0.3,0.725
Alox15,0,0.807
Alox5,-0.7,0.645
Alox8,5,0.331
Aloxe3,2.6,0.341
Alpi,0,0.807
Alpk1,6.1,0.0438
Alpk2,-3.4,0.35
Alpk3,0,0.897
Alpl,9.6,0.0263
Alppl2,-2.5,0.181
Als2,0,0.807
Alx1,-4.8,0.602
Alx3,0.5,0.599
Alx4,0.5,0.668
Ambp,3.8,0.531
Amd1,0,0.807
Amd2,4.5,0.346
Amer1,-1,0.377
Amer2,0,0.807
Amfr,9.3,0.0319
Amh,0,0.807
Amhr2,-0.3,0.786
Amn,5.6,0.178
Ampd1,1.2,0.329
Ampd2,4.2,0.0987
Ampd3,1.1,0.431
Amt,1.6,0.497
Amy1,-4.7,0.142
Anapc1,1.8,0.309
Anapc10,-0.4,0.7
Anapc13,0,0.807
Anapc2,-0.9,0.487
Anapc4,2.2,0.268
Anapc5,-0.9,0.487
Anapc7,1.8,0.332
Ang,-0.3,0.676
Angel1,0,0.807
Angpt1,0,0.807
Angpt2,-0.4,0.684
Angptl1,4.5,0.117
Angptl2,0.1,0.771
Ankar,-4.6,0.113
Ankef1,0,0.827
Ankhd1,-0.4,0.675
Ankk1,6,0.736
Ankra2,7.3,0.685
Ankrd1,6.1,0.538
Ankrd10,0,0.827
Ankrd11,-1.3,0.568
Ankrd16,1.2,0.814
Ankrd17,4.3,0.449
Ankrd22,8.2,0.116
Ankrd33,0,0.827
Ankrd33b,-4.4,0.678
Ankrd34b,6.1,0.0351
Ankrd35,-5.6,0.157
Ankrd42,-4.9,0.458
Ankrd44,0,0.827
Ankrd45,-6.1,0.116
Ankrd46,0,0.827
Ankrd49,-0.4,0.736
Ankrd54,6.6,0.512
Ankrd55,0,0.827
Ankrd6,7.2,0.35
Ankrd7,5.2,0.557
Anks1b,3.2,0.613
Anks3,0.9,0.513
Ankzf1,-2.7,0.202
Anln,0,0.807
Ano3,-3.4,0.0234
Anpep,0,0.807
Anxa1,-0.3,0.613
Anxa10,-3.9,0.13
Anxa2,-5.3,0.408
Anxa3,7.6,0.309
Anxa4,0,0.807
Anxa5,-0.1,0.859
Aoc2,2.6,0.139
Aoc3,8.6,0.156
Ap5z1,0,0.827
Apaf1,0,0.807
Apbb1,-0.6,0.49
Apbb1ip,3,0.229
Apbb2,-0.5,0.564
Apc,-0.3,0.714
Apc2,5,0.0855
Apex1,-0.1,0.782
Apex2,0,0.807
Api5,0.7,0.602
Aplf,-0.5,0.589
Aplnr,3.5,0.124
Aplp2,1.8,0.109
Apobec2,0.7,0.562
Apobec3,-0.8,0.535
Apobec4,0,0.807
Apod,3.5,0.29
Apoe,3.9,0.168
Apoh,5.6,0.0244
Apon,0.8,0.743
App,0.4,0.571
Appl1,0.3,0.648
Appl2,4.7,0.443
Aprt,1.3,0.55
Aptx,-0.2,0.719
Aqp1,-0.6,0.445
Ar,0.1,0.806
Araf,-4.3,0.115
Arap1,-6.3,0.0478
Arf1,-3.2,0.0659
Arf4,-0.6,0.619
Arg1,2.9,0.11
Arg2,0,0.807
Arglu1,-0.5,0.587
Arhgap11a,-0.2,0.749
Arhgap20,0.3,0.727
Arhgap22,-4.4,0.667
Arhgap25,-0.5,0.608
Arhgap29,0,0.807
Arhgef10l,0.1,0.825
Arhgef12,8,0.61
Arhgef2,1,0.548
Arhgef25,-0.1,0.804
Arhgef40,-1.3,0.25
Arhgef6,1.5,0.439
Arhgef7,0.6,0.529
Arid1b,7,0.0937
Arid2,0.6,0.533
Arid3a,0,0.827
Arid3b,-4.5,0.616
Arid3c,1,0.558
Arid5a,5.1,0.435
Arid5b,0,0.827
Arih1,-0.2,0.763
Arih2,-0.5,0.589
Arl2bp,0,0.807
Arl3,-0.3,0.829
Arl5a,0,0.807
Arl5b,10.5,0.148
Arl6ip4,0.3,0.681
Arl9,4.8,0.0781
Armc6,7.4,0.774
Arnt,8.3,0.272
Arnt2,2.9,0.459
Arntl,1.3,0.515
Arntl2,-0.3,0.735
Arpc1a,0,0.807
Arpc1b,7.6,0.309
Arpc3,-6.2,0.313
Arpc5,4.1,0.225
Arrdc4,1.7,0.178
Arsa,-0.2,0.851
Arsj,0,0.807
Art1,-6.4,0.368
Arx,-2.9,0.108
Asap1,3,0.298
Asap3,0.5,0.635
Ascc1,-2.6,0.519
Ascc3,0.4,0.613
Ascl1,0,0.827
Ascl2,-0.5,0.622
Ascl3,-5.2,0.402
Ascl4,0.4,0.624
Ascl5,0,0.827
Asf1a,-0.8,0.442
Asf1b,-3,0.21
Asgr2,0,0.897
Ash1l,4.2,0.338
Ash2l,-0.8,0.534
Asl,3.7,0.0408
Asns,-0.1,0.793
Aspa,-7.5,0.41
Asph,3,0.254
Aspm,2.7,0.199
Aspscr1,2.9,0.172
Asrgl1,1.9,0.492
Astn1,-0.8,0.381
Asxl1,-1,0.533
Atf1,8.7,0.102
Atf2,4.5,0.117
Atf3,0.2,0.772
Atf5,0,0.807
Atf7ip,0,0.827
Atf7ip2,0.3,0.668
Atg10,0,0.807
Atg12,-0.8,0.534
Atg14,-3.8,0.0269
Atg3,-0.2,0.741
Atg4a,0,0.807
Atg5,0.4,0.704
Atic,-1.1,0.442
Atl1,0,0.827
Atm,-7.9,0.565
Atmin,-2.2,0.101
Atn1,-2.4,0.383
Atoh1,-3.3,0.707
Atoh7,0.4,0.634
Atoh8,-2.3,0.0942
Atox1,6.9,0.284
Atp11a,-0.5,0.512
Atp13a1,0,0.807
Atp2a1,-2.9,0.191
Atp2c1,-0.6,0.555
Atp4a,0.9,0.721
Atp5a1,-8.2,0.27
Atp5b,1.1,0.649
Atp5c1,-0.2,0.848
Atp5j2,-0.6,0.504
Atp5o,6.2,0.731
Atp6v0a1,9.3,0.149
Atp6v0a2,0,0.807
Atp6v0a4,4.7,0.219
Atp6v1d,4.5,0.0987
Atp6v1g2,1.5,0.689
Atp6v1g3,0,0.807
Atp8a1,-6,0.103
Atp8a2,0,0.807
Atraid,0.2,0.698
Atrnl1,0,0.807
Atrx,3.1,0.207
Atxn10,8.3,0.272
Atxn3,-0.1,0.792
Aurkaip1,0,0.897
Aven,1.4,0.253
Avpi1,0,0.807
Avpr1a,5.4,0.34
Avpr1b,0,0.827
Avpr2,0.3,0.81
AW549877,0.5,0.628
Axin1,-0.9,0.376
Axin2,0.1,0.775
Axl,-1.1,0.235
Azgp1,10.2,0.253
B3galnt1,0.1,0.799
B3galt1,3.7,0.242
B3galt2,0,0.827
B3galt4,0,0.807
B3gat1,5.7,0.355
B3gat3,-2.5,0.095
B3gnt3,8.3,0.691
B3gnt6,0.2,0.703
B3gnt7,-0.4,0.618
B4galt1,-5.4,0.1
B4galt2,0,0.897
B4galt3,0.4,0.812
B4galt4,-7.7,0.256
B4galt5,1.5,0.373
B4galt6,-0.9,0.315
Baat,1.8,0.394
Babam2,-0.3,0.7
Bace1,-1.3,0.331
Bach1,0.1,0.796
Bach2,-6.4,0.0268
Bad,-1,0.288
Bag1,12.1,0.0473
Baiap2l1,4.4,0.0386
Bak1,1.4,0.252
